TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Dallas Mavericks,2,2,0,1,50.5,97.5,35.5,80.5,44.1,11.5,37,31.1,15,16,93.8,7,31,38,19.5,15,9.5,1.5,2.5,19,23,7.5
Denver Nuggets,2,2,0,1,48,115.5,40.5,86.5,46.8,9.5,30.5,31.1,25,32,78.1,16,30.5,46.5,26,14.5,8,3.5,9,14,22.5,8
Golden State Warriors,2,2,0,1,48,120.5,43.5,85,51.2,13,30.5,42.6,20.5,25.5,80.4,12,32.5,44.5,30,13,6.5,5.5,4,20.5,20,14
Utah Jazz,2,2,0,1,48,106.5,36.5,76,48,9.5,26,36.5,24,28.5,84.2,10,33.5,43.5,22.5,16,9.5,3.5,4,24.5,24,15
Atlanta Hawks,4,3,1,0.75,48,107.3,37.8,79.8,47.3,10.8,28.5,37.7,21,25.5,82.4,9.8,33,42.8,27.5,17.5,6.8,5.8,4.3,16.8,24.5,5.3
Cleveland Cavaliers,4,3,1,0.75,49.3,107.5,36.8,80.8,45.5,14,33.5,41.8,20,25.8,77.7,7.3,34,41.3,21.5,14.5,4.8,4.3,6.3,17.8,21.8,1.8
Miami Heat,4,3,1,0.75,48,104.8,40.5,85.8,47.2,10.8,31.3,34.4,13,19.8,65.8,10,33.3,43.3,23.3,11,6,6,5,21,18.5,11.3
Toronto Raptors,4,3,1,0.75,48,105.8,38,80.5,47.2,11.3,25.8,43.7,18.5,22.5,82.2,10,31.8,41.8,21,13,5.3,5.3,4,19.3,19.8,9.3
Washington Wizards,4,3,1,0.75,48,105,39.5,82.5,47.9,9.3,26.5,34.9,16.8,21,79.8,9.3,30.5,39.8,26.3,15.8,7.3,3.8,3.5,19,19,-2.8
Boston Celtics,3,2,1,0.667,49.7,108,37.7,89,42.3,12.7,38,33.3,20,26.3,75.9,11.3,32.3,43.7,27,12.3,8.7,4.3,7.7,19.3,22,6.3
Houston Rockets,2,1,1,0.5,48,112.5,41,86,47.7,14,39.5,35.4,16.5,21.5,76.7,9,28,37,25.5,16,10,8,7,19.5,17,3
Los Angeles Lakers,2,1,1,0.5,48,112.5,38.5,79.5,48.4,13,30,43.3,22.5,30.5,73.8,8.5,28,36.5,24.5,17,8,3.5,7,22,27,2
Memphis Grizzlies,2,1,1,0.5,48,104.5,38,78.5,48.4,10,28.5,35.1,18.5,22,84.1,7,27.5,34.5,25,12.5,9.5,2,5,23,20.5,5
Minnesota Timberwolves,2,1,1,0.5,48,105.5,40,79,50.6,9,19,47.4,16.5,21,78.6,9.5,26.5,36,25.5,12,6,4.5,5,19.5,21,5
New Orleans Pelicans,2,1,1,0.5,48,112.5,37.5,85.5,43.9,9,25.5,35.3,28.5,34,83.8,10,34.5,44.5,22.5,11.5,11,6,5,18,22.5,1
Oklahoma City Thunder,2,1,1,0.5,48,102,38,81,46.9,9,27.5,32.7,17,22,77.3,9.5,37,46.5,24.5,12.5,8,6,4.5,20,18,13.5
Philadelphia 76ers,4,2,2,0.5,48,101.8,35.3,79.8,44.2,10.5,31,33.9,20.8,25.8,80.6,11.5,34.3,45.8,27.5,18.8,7.8,4.3,5,20,20.5,-2
San Antonio Spurs,2,1,1,0.5,48,102,41,90.5,45.3,10,29,34.5,10,14,71.4,12.5,31,43.5,24,15,5.5,6,6.5,16,17,-0.5
Charlotte Hornets,3,1,2,0.333,48,98,37.3,83.3,44.8,6.3,23,27.5,17,22,77.3,7.7,32.7,40.3,24.3,7.7,7.7,5.3,3.7,14.7,20.7,-3
New York Knicks,3,1,2,0.333,48,104.3,40.7,87,46.7,11,24,45.8,12,17,70.6,12,31,43,25.7,15,6,5,6.7,20,15.7,-2.3
Orlando Magic,3,1,2,0.333,48,99,36.7,85.3,43,7.3,27,27.2,18.3,24,76.4,11.3,39.7,51,23.3,14.3,7.7,5.3,6,19.7,21,1.3
Chicago Bulls,4,1,3,0.25,48,92.8,35.5,83.5,42.5,7.5,22.3,33.7,14.3,20.5,69.5,12.3,32,44.3,24,13.8,6.3,3,4.3,16.8,15.5,-10.5
Detroit Pistons,4,1,3,0.25,49.3,96.5,39,87.8,44.4,6.3,23.8,26.3,12.3,17.8,69,13,37,50,23.3,14,6,2.5,3.5,17.8,16.3,-6.5
Indiana Pacers,4,1,3,0.25,48,99,36,77.3,46.6,7.5,22,34.1,19.5,24.8,78.8,9.5,27.5,37,20.8,18,11.3,4,5.5,21,21,-8.3
Brooklyn Nets,4,0,4,0,48,107.3,37.8,88,42.9,12,37.8,31.8,19.8,25,79,10.5,32.8,43.3,23.5,16.8,8.5,7,7,22.8,21,-8.3
Los Angeles Clippers,2,0,2,0,48,98.5,35.5,69.5,51.1,6.5,21.5,30.2,21,32.5,64.6,6.5,33.5,40,23,19.5,3.5,2.5,3,19,26,-6
Phoenix Suns,2,0,2,0,48,104,39,87,44.8,8,21,38.1,18,23,78.3,13,28,41,24,19,10.5,4,8.5,25,23,-14.5
Portland Trail Blazers,2,0,2,0,48,98.5,36,84,42.9,10.5,30.5,34.4,16,22.5,71.1,11.5,35,46.5,20,15,7.5,5,7.5,18,17.5,-5.5
Sacramento Kings,2,0,2,0,48,94.5,37,84,44,10,27,37,10.5,14.5,72.4,10.5,26,36.5,23,14,7,4.5,7,17,16.5,-22
