TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Dallas Mavericks,2,2,0,1,48,103,38.5,82.5,46.7,12,29.5,40.7,14,18,77.8,9.5,29.5,39,29,11,8,2,4,20,22,13
Denver Nuggets,2,2,0,1,48,117.5,44,90,48.9,11.5,26,44.2,18,20.5,87.8,11.5,38.5,50,26,13,5.5,4,7,15,18.5,10.5
Houston Rockets,2,2,0,1,50.5,118,40.5,93.5,43.3,15.5,45,34.4,21.5,28.5,75.4,9.5,41.5,51,25,14.5,9,3.5,5.5,19,22,12.5
Los Angeles Clippers,2,2,0,1,48,101.5,38.5,81,47.5,8.5,26,32.7,16,19.5,82.1,11,26.5,37.5,20,13.5,6.5,3.5,2,18.5,22,8.5
Minnesota Timberwolves,2,2,0,1,48,108,41,83.5,49.1,6,22.5,26.7,20,24,83.3,12,35,47,25.5,14.5,7,6,4,14,20,16.5
New York Knicks,3,3,0,1,48,107,44,90,48.9,7.3,22.3,32.8,11.7,16,72.9,14.7,32.7,47.3,26.3,10.7,4.7,5.7,4.3,20.7,14.3,12.3
Atlanta Hawks,4,3,1,0.75,48,110,41,84.5,48.5,11.5,25,46,16.5,20.5,80.5,10,33,43,25.3,17.5,8.3,4,4.3,18.8,17.8,5
Milwaukee Bucks,4,3,1,0.75,48,103.3,40.8,84.3,48.4,9.3,20.8,44.6,12.5,17.5,71.4,10.3,32.5,42.8,26.8,10.5,7.5,4.3,3,15.5,16.8,10.5
Washington Wizards,4,3,1,0.75,48,103.8,42.3,89.3,47.3,7,19.8,35.4,12.3,16,76.6,9.8,34,43.8,25,13.3,5.8,5.5,4.5,20.8,18.8,1.5
Boston Celtics,4,2,2,0.5,48,102.3,38.8,81.5,47.5,13,32.3,40.3,11.8,16.3,72.3,7.3,32,39.3,24,13,8,4.8,4.3,20.3,15.8,5
Detroit Pistons,4,2,2,0.5,48,97,39.5,87.8,45,6,21.3,28.2,12,17.8,67.6,11.3,30.8,42,21.8,10.8,7.8,3,4.8,16.8,18.3,-7
Golden State Warriors,2,1,1,0.5,48,105,41,86.5,47.4,10.5,29,36.2,12.5,13.5,92.6,5.5,37.5,43,30,14,9.5,5.5,3.5,17.5,16,12
Indiana Pacers,4,2,2,0.5,48,102,40.5,84,48.2,8.8,22,39.8,12.3,15.3,80.3,8.3,29.5,37.8,28.3,13,7,6.8,4.8,19.8,16.3,1.3
Los Angeles Lakers,2,1,1,0.5,48,103,37,87,42.5,7.5,19.5,38.5,21.5,31,69.4,14,34.5,48.5,21.5,17,11.5,3,7,21.5,21,-1
Memphis Grizzlies,2,1,1,0.5,48,101,38,90,42.2,11,31.5,34.9,14,15.5,90.3,13.5,37.5,51,25,10.5,4,3,5.5,20.5,16.5,1.5
Oklahoma City Thunder,2,1,1,0.5,48,104.5,42.5,91.5,46.4,8.5,30.5,27.9,11,14,78.6,8.5,31,39.5,23.5,10.5,5.5,4.5,2,20,16,-6.5
Phoenix Suns,2,1,1,0.5,50.5,118,48.5,94,51.6,8,21.5,37.2,13,19,68.4,10.5,32.5,43,26,14,6,7,4.5,20.5,18.5,5.5
Portland Trail Blazers,2,1,1,0.5,48,100,39.5,94,42,9,29,31,12,18,66.7,12.5,31,43.5,21,10.5,8.5,6,7.5,22.5,18,-11.5
San Antonio Spurs,2,1,1,0.5,48,105,43.5,91,47.8,9,23,39.1,9,12,75,11,32,43,25.5,13.5,9.5,5.5,3,18.5,16,7.5
Charlotte Hornets,3,1,2,0.333,48,107.7,40.3,86.7,46.5,7,22,31.8,20,23,87,10,32,42,24.7,10.7,5.7,6.3,6.7,15,19,-0.3
Miami Heat,3,1,2,0.333,48,98.3,39.7,89.3,44.4,9,24.3,37,10,14.7,68.2,11.7,31.3,43,24,12.3,9,4,5.7,19.3,13,1.3
Toronto Raptors,3,1,2,0.333,51.3,111.3,39.7,85.7,46.3,7,24.7,28.4,25,31.3,79.8,10,31.7,41.7,17.7,15.3,8.7,3.3,5.7,23.7,24.7,-4.7
Brooklyn Nets,4,1,3,0.25,48,91.8,34.3,90,38.1,7.8,31.8,24.4,15.5,19.8,78.5,11.3,32.3,43.5,19,15.8,11,4.5,6.8,16.5,19.3,-17.5
Orlando Magic,4,1,3,0.25,48,86.3,33.5,85.8,39.1,7,26,26.9,12.3,15.8,77.8,10.5,32.5,43,21.3,15.3,7,4.3,4.5,19,15.5,-20
Philadelphia 76ers,4,1,3,0.25,48,101,38.5,87.8,43.9,8.5,27,31.5,15.5,20.3,76.5,10,36.8,46.8,21.5,16,8.8,5.8,5.3,21,15.5,-7.8
Cleveland Cavaliers,4,0,4,0,48,97.8,38.3,82.3,46.5,10.5,28.8,36.5,10.8,16.3,66.2,8.8,31.5,40.3,22.5,15.5,5.5,2.8,2.5,17.5,15.5,-10.5
New Orleans Pelicans,2,0,2,0,48,104.5,36,82.5,43.6,8.5,26.5,32.1,24,28,85.7,6,35,41,25.5,11.5,5,5,6,16.5,21.5,-7.5
Sacramento Kings,2,0,2,0,48,103,39,81.5,47.9,10,27,37,15,18.5,81.1,9,31,40,23.5,13.5,5.5,5,5,24,17.5,-4
Utah Jazz,2,0,2,0,48,81.5,30.5,79.5,38.4,6,25,24,14.5,19.5,74.4,13.5,35,48.5,13,14,5,5.5,7.5,13,17,-8.5
