TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Chicago Bulls,4,4,0,1,48,108.3,43,91,47.3,10.8,25.8,41.7,11.5,16.5,69.7,13.3,34.3,47.5,28.5,11.5,9,2.5,2.8,15.5,17.5,10.5
Los Angeles Clippers,2,2,0,1,48,110.5,41,83.5,49.1,10.5,28.5,36.8,18,26.5,67.9,10.5,40,50.5,30,13.5,5.5,3,1.5,23.5,24,24.5
San Antonio Spurs,2,2,0,1,50.5,110.5,44.5,91,48.9,8.5,26,32.7,13,15.5,83.9,10,39,49,28,13,8.5,6.5,1.5,20,18,16
Atlanta Hawks,4,3,1,0.75,49.3,120,44.8,88.8,50.4,11.5,30.8,37.4,19,24.8,76.8,9.5,35.5,45,30.5,13.5,5.8,3.8,3,18.8,20.3,3.5
Miami Heat,4,3,1,0.75,49.3,108.5,40,91,44,13,32.3,40.3,15.5,20.3,76.5,13.8,30.8,44.5,22.3,11.8,7,4,5,20.5,18,2.3
Dallas Mavericks,2,1,1,0.5,48,97,38,88.5,42.9,8.5,33.5,25.4,12.5,15,83.3,10,29.5,39.5,24,11.5,8,3,3,19,16.5,-15.5
Denver Nuggets,2,1,1,0.5,48,117.5,45,96.5,46.6,11.5,31.5,36.5,16,17.5,91.4,13.5,31,44.5,29,9,7.5,2,3.5,19,14,-1.5
Detroit Pistons,4,2,2,0.5,48,97.3,37,93,39.8,8.8,23,38,14.5,18.3,79.5,12,32.8,44.8,22.5,8.8,7.3,2.5,3.8,17,18,-8.5
Golden State Warriors,2,1,1,0.5,48,117,41.5,84,49.4,12,32,37.5,22,26.5,83,8,42,50,31,18.5,9,7.5,3,23,20,17
Houston Rockets,2,1,1,0.5,48,118.5,42,93,45.2,16.5,44.5,37.1,18,26.5,67.9,15.5,26.5,42,27.5,6.5,7.5,3,4.5,21,22,-1.5
Memphis Grizzlies,2,1,1,0.5,48,89.5,35,83.5,41.9,8,22.5,35.6,11.5,15.5,74.2,12.5,36.5,49,20.5,16.5,9.5,4.5,3,25,16,-4.5
New Orleans Pelicans,2,1,1,0.5,48,103,37.5,87.5,42.9,13.5,32.5,41.5,14.5,20,72.5,7.5,36,43.5,26,10.5,7,8.5,3.5,20,16.5,-3
Oklahoma City Thunder,2,1,1,0.5,48,104.5,43.5,103,42.2,7,26.5,26.4,10.5,14.5,72.4,15,38,53,22,15,7.5,4.5,6,21,15,-3.5
Portland Trail Blazers,2,1,1,0.5,48,113.5,43.5,91.5,47.5,11.5,29.5,39,15,17.5,85.7,11,33.5,44.5,28,10.5,6,7.5,3.5,20,17.5,2
Sacramento Kings,2,1,1,0.5,50.5,112,42.5,87.5,48.6,10,28,35.7,17,20.5,82.9,11,33.5,44.5,26,16.5,10,4,4.5,25,20.5,-4
Utah Jazz,2,1,1,0.5,48,91.5,36,80.5,44.7,9,27.5,32.7,10.5,16.5,63.6,10.5,36,46.5,20,18.5,7,3.5,2,18.5,15.5,0
Washington Wizards,3,1,2,0.333,49.7,118.7,45.7,89.3,51.1,7.7,20.7,37.1,19.7,23.7,83.1,10.7,32.3,43,23,13,8.7,4.7,4.7,23,21.7,-1.3
Boston Celtics,4,1,3,0.25,48,108.5,39.5,85,46.5,10.8,33.3,32.3,18.8,23.8,78.9,8,30.3,38.3,25,11,7.3,5,4.8,22.5,20.5,-7.8
Indiana Pacers,4,1,3,0.25,50.5,113.5,43,89.8,47.9,12.8,29.5,43.2,14.8,17.8,83.1,9.3,32.5,41.8,27,11.3,5.8,4.5,4,18.8,17.5,-4.8
Milwaukee Bucks,4,1,3,0.25,49.3,105.8,39.8,83.3,47.7,8.5,24.5,34.7,17.8,24.3,73.2,8,33.5,41.5,25,12.3,7.8,6.3,4.3,21.8,17.8,-1.8
Toronto Raptors,4,1,3,0.25,48,104.5,39.8,90,44.2,9.5,25.8,36.9,15.5,19.8,78.5,13,30,43,19.5,10.5,9,3.8,5,21.8,17,1
Brooklyn Nets,3,0,3,0,48,107.7,40.7,87.7,46.4,11,31,35.5,15.3,17.7,86.8,7,37.3,44.3,22,16.3,7,3.3,4,23.7,16.7,-12
Charlotte Hornets,4,0,4,0,48,103,38.3,87.3,43.8,10,29.5,33.9,16.5,20.8,79.5,11.5,29.8,41.3,22.3,10.8,5.3,3.5,4,19.8,19,-9.3
Los Angeles Lakers,2,0,2,0,48,114,44,88.5,49.7,13.5,32,42.2,12.5,16,78.1,10,30.5,40.5,26.5,9,4,1.5,2.5,20.5,14,-8
Minnesota Timberwolves,2,0,2,0,48,102.5,41.5,90,46.1,8,22,36.4,11.5,14.5,79.3,10,29.5,39.5,26.5,12,6.5,2.5,7,18.5,15.5,-18
New York Knicks,4,0,4,0,48,97.5,37,90.3,41,10,28.8,34.8,13.5,20,67.5,13.8,30.5,44.3,21.5,14.5,6.3,5.8,4.8,20.8,18.8,-20.8
Orlando Magic,3,0,3,0,48,101.7,36.3,88.7,41,7.7,27.3,28,21.3,26.7,80,12.7,35.7,48.3,20.3,13.3,6.7,3,5,21.7,21,-12.7
Philadelphia 76ers,3,0,3,0,48,104.7,41,87,47.1,13.3,35,38.1,9.3,13.7,68.3,8.3,37.3,45.7,25.3,17,7,5.3,4,22.7,15,-7.3
Phoenix Suns,2,0,2,0,48,109.5,41.5,86,48.3,6.5,23,28.3,20,25,80,14,27,41,23,15,11,5.5,5.5,20.5,18,-9.5
