TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Denver Nuggets,2,2,0,1,48,121,44.5,84.5,52.7,11.5,27,42.6,20.5,26.5,77.4,10,38.5,48.5,22.5,18.5,9,5,3,20.5,23.5,18
Oklahoma City Thunder,2,2,0,1,48,108,41,81.5,50.3,7,23.5,29.8,19,31.5,60.3,12.5,34,46.5,22,13,7,6.5,3,15,25.5,4
San Antonio Spurs,2,2,0,1,48,108.5,41,80.5,50.9,9.5,23,41.3,17,19.5,87.2,9,32.5,41.5,28.5,16.5,6.5,5.5,3.5,14.5,17,6.5
Cleveland Cavaliers,4,3,1,0.75,48,116.3,41,87.5,46.9,12.3,35.3,34.8,22,27.5,80,11.3,33.8,45,23,11.8,5.8,4.8,5,20.5,22.5,7.8
Toronto Raptors,4,3,1,0.75,48,106.5,39,82,47.6,8,22,36.4,20.5,27,75.9,10.8,34.8,45.5,15.3,14,7.8,4.5,3,23.3,20,5
Atlanta Hawks,3,2,1,0.667,48,112.7,42,89.3,47,9.3,26,35.9,19.3,25,77.3,12.7,37.3,50,23.3,14.3,7.3,6.3,4.7,22,21.7,7
Chicago Bulls,4,2,2,0.5,48,97.3,35.5,87.5,40.6,7.8,23.8,32.6,18.5,23,80.4,15,33.8,48.8,21.8,14.5,6.8,4.3,4.8,15.8,20.3,-5
Golden State Warriors,2,1,1,0.5,48,95,40.5,87,46.6,7.5,29,25.9,6.5,10.5,61.9,10.5,37.5,48,28,14.5,9,9.5,2,20,11,1.5
Houston Rockets,2,1,1,0.5,48,108,35,76.5,45.8,11,34.5,31.9,27,34.5,78.3,6.5,31.5,38,24,17,8,6,3.5,16,23.5,-5
Los Angeles Clippers,2,1,1,0.5,48,109,37,78.5,47.1,9.5,24.5,38.8,25.5,37.5,68,8,38.5,46.5,22.5,13,5.5,2.5,2.5,18.5,26,4.5
New Orleans Pelicans,2,1,1,0.5,48,107,37.5,82,45.7,8,26,30.8,24,29.5,81.4,8.5,35.5,44,19,14.5,8,5.5,2.5,18.5,24.5,-4
Phoenix Suns,2,1,1,0.5,48,114.5,40.5,90,45,5,19.5,25.6,28.5,37.5,76,10,39.5,49.5,19.5,12,8,6.5,5.5,29.5,30,-3.5
Portland Trail Blazers,2,1,1,0.5,50.5,119,41,84.5,48.5,9.5,25.5,37.3,27.5,33.5,82.1,9.5,29.5,39,24.5,15,8,5,1.5,24.5,25,-2.5
Sacramento Kings,2,1,1,0.5,48,100,37.5,86,43.6,8,25.5,31.4,17,20,85,9,36.5,45.5,23,14,10,5.5,5.5,17,20.5,5.5
Washington Wizards,4,2,2,0.5,48,112.8,44,91.8,48,9.3,25.5,36.3,15.5,19.8,78.5,12.8,32.3,45,25.5,13.5,8,4.5,5,21.3,18.3,5.8
Milwaukee Bucks,3,1,2,0.333,49.7,101.7,38.3,83,46.2,7.7,22,34.8,17.3,22,78.8,8.3,33.3,41.7,25.3,16.3,7,7.7,4.3,22,19.3,-6.3
Detroit Pistons,4,1,3,0.25,48,105,40.8,87.8,46.4,7.8,25,31,15.8,25.3,62.4,11.8,37.8,49.5,22.5,10.5,5.8,5.8,4,19.8,18.5,-1.3
New York Knicks,4,1,3,0.25,48,103,38.3,89.3,42.9,7.8,24,32.3,18.8,21.8,86.2,16,32.8,48.8,19.3,17.3,6.5,6.8,4,23.3,19.5,-9.5
Philadelphia 76ers,4,1,3,0.25,48,106.3,39.3,84,46.7,11,31.3,35.2,16.8,21.3,78.8,8,34.3,42.3,25.5,17.5,9.8,6.5,5.8,23,19,-1.8
Brooklyn Nets,4,0,4,0,48,102.3,34.5,88,39.2,11,35.3,31.2,22.3,27.8,80.2,9.8,35,44.8,20.3,14.3,7.5,5.8,6.3,18.8,22,-9
Charlotte Hornets,4,0,4,0,48,99.5,35,86.5,40.5,8.5,28.8,29.6,21,25.3,83.2,9.8,34,43.8,22.5,9.8,6.8,4.8,5.5,17,17.8,-7.8
Dallas Mavericks,2,0,2,0,48,90.5,34.5,80,43.1,8.5,25,34,13,17.5,74.3,4.5,30,34.5,18.5,10.5,8,2.5,3,17.5,21,-10
Indiana Pacers,3,0,3,0,48,100.3,36.3,85,42.7,8,26,30.8,19.7,25.3,77.6,12.3,32.7,45,19,15.3,9,6,3.7,20.7,21.7,-7.3
Los Angeles Lakers,2,0,2,0,48,101,37,90.5,40.9,10,31,32.3,17,23,73.9,10.5,32.5,43,23.5,13,10,5,1.5,22,18,-13
Memphis Grizzlies,2,0,2,0,50.5,106,37.5,91,41.2,10.5,30,35,20.5,27.5,74.5,15,29.5,44.5,22.5,12,12,4,6,24,23,-6.5
Miami Heat,4,0,4,0,48,105.3,40.8,82.5,49.4,8.3,27.8,29.7,15.5,22.8,68.1,9.5,30.8,40.3,25.3,16,7.3,5,2.5,21.8,18.3,-6.3
Minnesota Timberwolves,2,0,2,0,48,98.5,38,88.5,42.9,6,25.5,23.5,16.5,22.5,73.3,15.5,31,46.5,24.5,11.5,4.5,2.5,4.5,20,18.5,-9.5
Orlando Magic,3,0,3,0,48,100.3,36,88.7,40.6,10.7,27,39.5,17.7,22.3,79.1,8.7,32.3,41,25.7,11.7,7.7,2.3,4.7,20.7,18,-20.3
Utah Jazz,2,0,2,0,48,104,36.5,84,43.5,9.5,28.5,33.3,21.5,25.5,84.3,10.5,26.5,37,21.5,11,8,2.5,5,18,23,-9.5
