TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,
Golden State Warriors,4,4,0,1,48,128.8,48.5,90.3,53.7,12.8,31,41.1,19,22.3,85.4,11.5,36.8,48.3,34,13.5,10.3,6.3,2.8,23.5,19,21.5,
Indiana Pacers,2,2,0,1,48,101,39.5,85.5,46.2,5,16.5,30.3,17,21,81,9,35,44,23.5,12.5,8.5,3,5.5,22.5,18.5,15,
Milwaukee Bucks,2,2,0,1,48,104.5,39,78,50,10,27,37,16.5,20,82.5,3.5,27,30.5,28.5,11.5,9.5,3,2.5,26,19,6,
Denver Nuggets,4,3,1,0.75,48,115,41.8,86.3,48.4,11.8,30.5,38.5,19.8,25,79,11.8,35.8,47.5,26.3,12.5,6.5,1,3.5,15.8,18.5,6.8,
Houston Rockets,3,2,1,0.667,48,119.3,38.3,84,45.6,14.3,44,32.6,28.3,34.3,82.5,12.3,37,49.3,24.3,15,6.7,3.3,2.3,19,21.3,4.7,
Minnesota Timberwolves,3,2,1,0.667,48,105.3,40.7,86.3,47.1,6,19.3,31,18,22,81.8,14,30,44,25.7,13.7,8,3,4.3,25,19.3,1.7,
Boston Celtics,2,1,1,0.5,48,104.5,35.5,85.5,41.5,13,43.5,29.9,20.5,24.5,83.7,8,33,41,23,11,9,2.5,2.5,26,18.5,-4.5,
Brooklyn Nets,2,1,1,0.5,53,111,39.5,90.5,43.6,11.5,35.5,32.4,20.5,29,70.7,8.5,37,45.5,20,17.5,7.5,2.5,4.5,22,25.5,-13.5,
Dallas Mavericks,4,2,2,0.5,48,98,37.8,84.8,44.5,9.5,27.5,34.5,13,17.3,75.4,9.8,31.3,41,23.5,13.3,9,3.5,2.5,20.5,17,-6.8,
Detroit Pistons,2,1,1,0.5,48,95,38.5,86,44.8,6.5,15.5,41.9,11.5,16.5,69.7,10,30.5,40.5,20,10.5,6,1,6,20.5,18,-10.5,
Oklahoma City Thunder,4,2,2,0.5,48,101.3,36.3,83.8,43.3,10.3,26.8,38.3,18.5,23.3,79.6,9,35.3,44.3,19.5,15.8,7.5,3.8,4.3,21.5,19.8,1,
Philadelphia 76ers,2,1,1,0.5,48,110.5,42.5,87,48.9,10,29.5,33.9,15.5,18,86.1,6.5,33,39.5,31.5,11,9.5,4,2,25,17.5,-0.5,
Toronto Raptors,2,1,1,0.5,48,116.5,40.5,82,49.4,9,21.5,41.9,26.5,30.5,86.9,7.5,32,39.5,19.5,11,8,1.5,4.5,27,21.5,0.5,
Washington Wizards,2,1,1,0.5,48,120.5,44.5,87,51.1,11.5,26.5,43.4,20,29.5,67.8,11.5,26.5,38,23,13,8.5,2,2.5,27.5,22.5,-1,
New Orleans Pelicans,3,1,2,0.333,48,101,39.7,85,46.7,7.7,22.7,33.8,14,22.7,61.8,8.7,31,39.7,23,12,6.3,3.3,4.3,15,20,-14,
Los Angeles Lakers,4,1,3,0.25,48,105.3,39.5,86.5,45.7,7.5,22.3,33.7,18.8,28.5,65.8,12,30.5,42.5,22,12.8,7.5,2.5,5,22.5,21,-10.5,
Memphis Grizzlies,4,1,3,0.25,48,100.8,36.5,84.3,43.3,10.5,25,42,17.3,22,78.4,10,32,42,26.5,13.5,5.5,4.5,5.5,25.8,20.8,-8,
Sacramento Kings,4,1,3,0.25,48,101.5,38,84.5,45,9.3,23.8,38.9,16.3,21,77.4,8.5,34,42.5,23.5,11.3,4.5,3,4.8,21.3,16.5,-8.3,
San Antonio Spurs,4,1,3,0.25,48,96.3,34,82,41.5,8.3,23,35.9,20,23.5,85.1,11.8,34.8,46.5,20.3,14.3,6.3,5.5,5.3,19.8,20.5,-8,
Utah Jazz,4,1,3,0.25,48,89,33.8,81,41.7,8.3,22.3,37.1,13.3,17.8,74.6,9.8,34.5,44.3,19,13,4.8,3,4.5,19.3,18,-9,
Atlanta Hawks,2,0,2,0,48,94.5,34.5,83.5,41.3,8,27.5,29.1,17.5,22.5,77.8,9,33.5,42.5,24,15.5,6.5,1.5,5.5,15,18,-12.5,
Charlotte Hornets,2,0,2,0,50.5,111.5,37.5,82.5,45.5,15.5,38.5,40.3,21,25,84,6.5,35,41.5,20,12,3.5,2.5,4.5,26,23,-4,
Chicago Bulls,2,0,2,0,48,93,34,80,42.5,7.5,23.5,31.9,17.5,22,79.5,14.5,28.5,43,21.5,16.5,9,2,3.5,22,18.5,-8.5,
Cleveland Cavaliers,2,0,2,0,48,86,30,76,39.5,7,25.5,27.5,19,26,73.1,5,33,38,13.5,15,5,1.5,3,24,23.5,-24.5,
Miami Heat,2,0,2,0,48,92,34.5,88.5,39,6.5,27,24.1,16.5,23,71.7,10.5,38,48.5,17,10.5,5.5,5,3,22,20,-8,
New York Knicks,2,0,2,0,48,110,43,90.5,47.5,7,25.5,27.5,17,21,81,13,31.5,44.5,24.5,12,7.5,3,3.5,20.5,19.5,-6.5,
Orlando Magic,2,0,2,0,48,102,40.5,90.5,44.8,10,30,33.3,11,19,57.9,9,28,37,25,10.5,6.5,2,5,25,20,-7,
Phoenix Suns,4,0,4,0,48,107,40.5,93.5,43.3,5.3,18.3,28.8,20.8,28,74.1,14.8,30,44.8,21.5,14.8,8.3,2.3,6.8,29,23.3,-11.3,
Portland Trail Blazers,3,0,3,0,48,102,38,86.7,43.8,6.7,23,29,19.3,23.7,81.7,11,34.7,45.7,19.7,14.7,4.7,4.7,6.3,27,20,-13.3,
