TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,4,4,0,1,48,111.5,40,81,49.4,11.3,27.8,40.5,20.3,24.8,81.8,7.5,28,35.5,26.8,14,7.8,2.5,5,18.3,21.8,6.3
Los Angeles Clippers,2,2,0,1,48,100,36,84.5,42.6,8,27.5,29.1,20,27,74.1,8,42.5,50.5,22,10.5,4.5,3,5,20,22,8
Oklahoma City Thunder,2,2,0,1,48,101.5,39.5,83.5,47.3,7,23.5,29.8,15.5,21,73.8,12,34.5,46.5,22.5,17.5,5.5,4.5,5.5,19.5,19.5,12
Portland Trail Blazers,2,2,0,1,48,107,39,86,45.3,11,25,44,18,24,75,12.5,32.5,45,16,10.5,5,7.5,7,18.5,18,9
San Antonio Spurs,2,2,0,1,48,100,35,82,42.7,9,16.5,54.5,21,26.5,79.2,14,34,48,22,16,4,6,7,20.5,23.5,5.5
Orlando Magic,4,3,1,0.75,50.5,114.5,43.8,93.5,46.8,7.5,17.8,42.3,19.5,26.8,72.9,11,36.8,47.8,22.3,11.3,6,4.5,6.3,18.8,23.3,3.5
Toronto Raptors,4,3,1,0.75,48,95.5,35,84,41.7,5.8,20.8,27.7,19.8,24.8,79.8,13,35.3,48.3,11.3,16.3,8,4.3,7.8,20.3,21.3,3.3
Chicago Bulls,3,2,1,0.667,48,97,36,83.7,43,3.3,12.3,27,21.7,25.3,85.5,11,35,46,18,14.7,7.3,5.7,4,13,19.3,-1.3
New York Knicks,3,2,1,0.667,48,100,39.7,89,44.6,6,22,27.3,14.7,18,81.5,14.3,33.7,48,22,13.7,5.7,5.7,5,17.3,18.7,-0.7
Atlanta Hawks,4,2,2,0.5,48,94.8,36,83.3,43.2,5.8,20.5,28,17,22.8,74.7,9.3,33.3,42.5,18,15.3,10,6.3,7.3,14.8,21,-7.5
Charlotte Hornets,4,2,2,0.5,48,97,35.8,85.8,41.7,6.8,23.5,28.7,18.8,21.8,86.2,8.5,36,44.5,17.8,8.8,7,8,7,15.8,19,-1.3
Dallas Mavericks,2,1,1,0.5,48,95.5,35,79,44.3,11.5,27,42.6,14,17,82.4,8,29.5,37.5,17.5,11.5,4.5,2.5,2.5,16.5,16.5,1.5
Denver Nuggets,2,1,1,0.5,48,107,41,89,46.1,6,21,28.6,19,25.5,74.5,10,37.5,47.5,26.5,13.5,6,6.5,8,17.5,23.5,-2.5
Detroit Pistons,4,2,2,0.5,48,103.3,41,85.3,48.1,6.8,20,33.8,14.5,20,72.5,12.3,35.3,47.5,17.3,13,7,5,4.5,19,20.3,4.5
Golden State Warriors,2,1,1,0.5,48,104.5,40,87,46,9.5,28.5,33.3,15,21,71.4,6,39.5,45.5,27.5,12.5,7.5,5.5,4,18,20.5,4.5
Los Angeles Lakers,2,1,1,0.5,48,117,44,93,47.3,12,33,36.4,17,22,77.3,13.5,37.5,51,20,13.5,6.5,2,6.5,18,19,9.5
Memphis Grizzlies,2,1,1,0.5,48,95.5,33,77.5,42.6,6.5,22,29.5,23,28,82.1,9,33.5,42.5,18.5,12,4,9.5,7,17.5,21,-3
New Orleans Pelicans,2,1,1,0.5,48,101.5,37.5,88.5,42.4,10,25,40,16.5,24.5,67.3,9.5,35,44.5,19,12.5,9,6,3.5,16.5,21,-2
Philadelphia 76ers,4,2,2,0.5,48,104.5,37,83.3,44.4,8,22.8,35.2,22.5,27.8,81.1,8.5,29.3,37.8,21,14.8,10,4.5,6.8,22.3,22.8,-8.8
Phoenix Suns,2,1,1,0.5,48,98,36,79.5,45.3,6.5,19.5,33.3,19.5,25.5,76.5,11.5,33.5,45,17.5,21,6,6,4.5,23,24,-3
Utah Jazz,2,1,1,0.5,48,106,40,77,51.9,11.5,25,46,14.5,18,80.6,5.5,32.5,38,18,10,5,6,3,16.5,16,5
Indiana Pacers,3,1,2,0.333,48,95.3,34,85.3,39.8,6,18,33.3,21.3,25,85.3,10,32.3,42.3,15.7,11,6,4.3,5,20,19,-6.7
Cleveland Cavaliers,4,1,3,0.25,49.3,106.3,40,80.8,49.5,10.8,28.3,38.1,15.5,22,70.5,9.3,35.5,44.8,19.3,16.3,5.3,5,4,18,20.5,-2.3
Milwaukee Bucks,4,1,3,0.25,48,93.5,33.5,78.8,42.5,7,17.8,39.4,19.5,26,75,10.5,31.5,42,20.8,13,7,5,6,18.5,21,-11.3
Brooklyn Nets,3,0,3,0,48,100.3,35.7,82.7,43.1,8.3,27,30.9,20.7,25.3,81.6,11.3,33.3,44.7,18.3,17.7,4.7,4.7,7,22,21.3,-6.7
Houston Rockets,2,0,2,0,48,106,36,88.5,40.7,11,39.5,27.8,23,29.5,78,13,32,45,21.5,13,7,2,4,19.5,22,-7
Minnesota Timberwolves,2,0,2,0,48,109,42,81,51.9,3.5,11.5,30.4,21.5,25,86,8.5,22.5,31,19.5,11,9.5,3.5,7,18,18.5,-10
Sacramento Kings,2,0,2,0,50.5,99,37,83.5,44.3,6.5,21.5,30.2,18.5,22,84.1,6.5,33,39.5,19,16,6,3.5,9,25.5,20.5,-8.5
Washington Wizards,4,0,4,0,48,104.3,40.5,85.3,47.5,7.8,24.5,31.6,15.5,20,77.5,10.8,28,38.8,19.5,14.5,8.3,2.3,5.3,20.3,17.8,-6.3
