TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,4,4,0,1,48,107.3,40,82.5,48.5,14,34.3,40.9,13.3,17.5,75.7,5.5,38.3,43.8,28.8,11.8,4.8,5.5,4.8,17.8,17,7.8
Cleveland Cavaliers,4,4,0,1,48,112.3,41.3,81,50.9,12.5,31.3,40,17.3,23,75,7.5,34,41.5,23.3,11.3,5.8,4,3.5,19,19.8,9.3
Golden State Warriors,2,2,0,1,48,119.5,43,89,48.3,16,38,42.1,17.5,20.5,85.4,7,37,44,29,11,8,13.5,4.5,18.5,16,12.5
Houston Rockets,2,2,0,1,48,114,39.5,84.5,46.7,15,39.5,38,20,26.5,75.5,7.5,35.5,43,23.5,13.5,10.5,5,4.5,18,19,9.5
Los Angeles Clippers,2,2,0,1,50.5,115.5,42.5,91,46.7,12,33,36.4,18.5,27,68.5,12.5,36,48.5,26.5,11.5,8.5,4.5,2.5,23,26,4
New Orleans Pelicans,2,2,0,1,53,123,46.5,98.5,47.2,14,35,40,16,20.5,78,9.5,40.5,50,30,11,6.5,5,3,19.5,17.5,4
San Antonio Spurs,2,2,0,1,48,110.5,40,87.5,45.7,13,32.5,40,17.5,20,87.5,8.5,30,38.5,28.5,8.5,9,8,3.5,19.5,15,11
Detroit Pistons,4,3,1,0.75,49.3,104.5,40.5,96.3,42.1,10.3,30,34.2,13.3,15.8,84.1,10.5,43,53.5,23.8,10.3,4.3,5,4.8,19.3,16.3,5
Washington Wizards,4,3,1,0.75,48,107.3,40,82.8,48.3,10.8,27.5,39.1,16.5,20.8,79.5,7.8,34.3,42,25.3,14,9,4,6,20,18.5,3.8
Chicago Bulls,3,2,1,0.667,48,108,40.3,92.7,43.5,9.3,28.3,32.9,18,20.3,88.5,14.7,34.3,49,24,10.3,7,6.7,6.3,19,15,0.3
Milwaukee Bucks,3,2,1,0.667,48,101,40,81.3,49.2,11,24.3,45.2,10,14,71.4,7,37.7,44.7,27.3,12.7,3,3.7,5.3,20.7,14.7,3
New York Knicks,3,2,1,0.667,49.7,108.3,42.7,97.3,43.8,10.7,29,36.8,12.3,15.3,80.4,11.7,38.3,50,24.7,11.7,8.7,7.7,5.7,22,14.7,0
Philadelphia 76ers,3,2,1,0.667,48,100,37,82.7,44.8,12.7,36.3,34.9,13.3,17.3,76.9,9,33,42,24.3,20.3,9.7,5.3,3.3,24,17.7,-0.3
Indiana Pacers,4,2,2,0.5,48,99,39.8,84,47.3,12.5,31.8,39.4,7,9.3,75.7,6.5,37.8,44.3,25.5,15,5.8,6.5,3.5,19.5,12.8,0.8
Memphis Grizzlies,2,1,1,0.5,48,95,38,86.5,43.9,9.5,27.5,34.5,9.5,15,63.3,7,34,41,22.5,11,8.5,6,6.5,24.5,13.5,-2
Miami Heat,4,2,2,0.5,48,98.3,35.5,84.3,42.1,15.5,35.8,43.4,11.8,17.3,68.1,8.8,37.3,46,22.5,14.5,5.3,7,8,19,15.8,1.3
Minnesota Timberwolves,2,1,1,0.5,50.5,116.5,43,97.5,44.1,12.5,31,40.3,18,21.5,83.7,14,33,47,28.5,14.5,7,7.5,7,19,16.5,-1
Phoenix Suns,2,1,1,0.5,48,113,43.5,79,55.1,6.5,17.5,37.1,19.5,23.5,83,6,34.5,40.5,27.5,15.5,7,5,1.5,20,17,1.5
Portland Trail Blazers,2,1,1,0.5,48,100,37.5,93.5,40.1,9.5,31,30.6,15.5,17,91.2,13,37.5,50.5,20.5,12,9,7,6.5,14.5,13,-2.5
Sacramento Kings,2,1,1,0.5,48,97,36,79,45.6,11,27.5,40,14,20.5,68.3,8.5,31,39.5,22.5,12,4.5,5.5,5,21,19,-5.5
Toronto Raptors,4,2,2,0.5,48,96.8,35.5,85.8,41.4,9,28.8,31.3,16.8,19.8,84.8,9.3,32.8,42,17.5,11.8,6.8,5.3,4,19,16.3,-8
Utah Jazz,2,1,1,0.5,48,101.5,38,81.5,46.6,10.5,33.5,31.3,15,21,71.4,10.5,38,48.5,20,14,5,5,3,20,19.5,0.5
Atlanta Hawks,4,1,3,0.25,48,97,39.3,83.3,47.1,9,29.5,30.5,9.5,15.3,62.3,10,37.8,47.8,26.8,16,5.5,4.3,3,17.5,15.8,0
Brooklyn Nets,4,1,3,0.25,48,106.8,38,84,45.2,13.3,36,36.8,17.5,22,79.5,4.8,37.8,42.5,25.5,15.8,7,5.8,4.3,20.8,19.3,-3.3
Dallas Mavericks,2,0,2,0,48,94,34.5,87.5,39.4,11,33.5,32.8,14,18,77.8,9,29,38,20.5,10,5,2,5.5,22,18.5,-9
Denver Nuggets,2,0,2,0,48,108,40.5,85,47.6,12.5,31.5,39.7,14.5,18,80.6,10.5,36.5,47,26.5,13,4.5,2,8.5,19.5,17.5,-9
Los Angeles Lakers,2,0,2,0,48,108.5,42.5,87,48.9,14,32.5,43.1,9.5,12,79.2,8,31.5,39.5,25.5,13,7,8.5,3.5,21.5,12,-4.5
Oklahoma City Thunder,2,0,2,0,48,106.5,40.5,90,45,10.5,30.5,34.4,15,17.5,85.7,10.5,36,46.5,20.5,19,8,4,7.5,25.5,17,-11.5
Orlando Magic,4,0,4,0,48,93,36.8,85.3,43.1,9.3,33.8,27.4,10.3,14,73.2,9.8,27,36.8,23,11.5,5.5,3.5,4,18.8,13.8,-21.8
