TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,2,2,0,1,48,113.5,41.5,72.5,57.2,15,30.5,49.2,15.5,20,77.5,3.5,31,34.5,25.5,15,5.5,5,2.5,23,18,9.5
Chicago Bulls,2,2,0,1,48,90,35.5,85,41.8,6,18,33.3,13,15,86.7,10.5,32,42.5,16,9.5,7,7.5,5.5,17,13,8.5
Toronto Raptors,2,2,0,1,48,102.5,39.5,86,45.9,8,21,38.1,15.5,21.5,72.1,13,27.5,40.5,13,7,11,5,3,19,19,7
Los Angeles Clippers,4,3,1,0.75,48,98,36.8,81.5,45.1,8.5,27.3,31.2,16,20.5,78,8.5,34.8,43.3,15.8,10.5,7,4.5,3,18,19.3,9
Memphis Grizzlies,4,3,1,0.75,48,91.3,34.8,81.8,42.5,7.5,23.5,31.9,14.3,17,83.8,11.3,28.8,40,14.3,12,7.8,1.5,4.8,25,21,3.3
Oklahoma City Thunder,4,3,1,0.75,48,101.8,37,81.8,45.3,8.8,21,41.7,19,24.8,76.8,9.8,32.3,42,18.5,11.8,5.5,5.8,4.8,19.5,18.8,-1.8
Golden State Warriors,3,2,1,0.667,48,103,39.3,83.3,47.2,10,25.7,39,14.3,19,75.4,8.7,37.7,46.3,25,13.3,9.3,4.3,2.7,19.3,18.7,10.3
Charlotte Hornets,2,1,1,0.5,48,101,36.5,82,44.5,10.5,29.5,35.6,17.5,23.5,74.5,4,33.5,37.5,22,9.5,7.5,3,5,19.5,20,-0.5
Cleveland Cavaliers,2,1,1,0.5,48,91.5,33.5,85.5,39.2,9,32,28.1,15.5,22,70.5,12,35,47,14.5,15,6,2,3.5,15.5,18.5,0
Denver Nuggets,4,2,2,0.5,48,97.3,35.5,83.3,42.6,10,24.8,40.4,16.3,26.5,61.3,10,34.5,44.5,23,11.8,5.8,4.8,3.8,19.3,20.3,-2
Indiana Pacers,2,1,1,0.5,48,103.5,38.5,82,47,10,20,50,16.5,20,82.5,7,32.5,39.5,19,12.5,9.5,6,7,21,16,-1
Miami Heat,2,1,1,0.5,48,101,41,83.5,49.1,6.5,18,36.1,12.5,19,65.8,8.5,31,39.5,18.5,7.5,6,3,6,16,16.5,-5
Portland Trail Blazers,4,2,2,0.5,48,97.3,35.3,82,43,10.3,24.3,42.3,16.5,18.8,88,8.3,29.5,37.8,15.3,10.5,6.8,4.3,6.3,18.8,17.5,-4.5
San Antonio Spurs,4,2,2,0.5,48,99.3,37.3,80.5,46.3,7.5,20,37.5,17.3,19.5,88.5,9,32.8,41.8,19.5,12.3,8.5,5.3,6.3,18.5,18.3,0.3
Houston Rockets,3,1,2,0.333,48,106.7,38,88,43.2,10.3,31.3,33,20.3,27.3,74.4,11.7,24.3,36,21.3,6.7,7.3,4.3,4.7,18.7,20,-5.7
Dallas Mavericks,4,1,3,0.25,50.5,100,37.8,82,46,8,24.3,33,16.5,21,78.6,7,28.8,35.8,19.5,11.3,7.3,2.3,3.5,22.3,24,-4.3
Minnesota Timberwolves,4,1,3,0.25,48,103.8,37.3,79.5,46.9,7.3,17.8,40.8,22,25,88,10.8,31.5,42.3,23.5,13.8,8.3,3.3,5.3,21,21,2.3
Sacramento Kings,4,1,3,0.25,49.3,92.3,36.3,80.5,45,7.3,19.8,36.7,12.5,18.8,66.7,6.8,29.3,36,17,11.8,7.5,2.8,5.5,17.8,17.8,-12.5
Atlanta Hawks,2,0,2,0,48,81.5,29.5,78.5,37.6,7,21,33.3,15.5,22,70.5,6.5,28.5,35,13.5,13,7,3.5,8,17,19.5,-26
Brooklyn Nets,2,0,2,0,48,93,34.5,83.5,41.3,6.5,28.5,22.8,17.5,23.5,74.5,8.5,34.5,43,12.5,13.5,5.5,4,5,22,22,-13.5
Detroit Pistons,2,0,2,0,48,80,33,81,40.7,4.5,15,30,9.5,14,67.9,5.5,31.5,37,14.5,11,5.5,4,5.5,17,14.5,-23.5
Los Angeles Lakers,4,0,4,0,48,94.5,36.5,84.5,43.2,5.5,16.8,32.8,16,19.8,81,12.8,30.8,43.5,15.8,14.3,6.8,3.3,6,24.3,16,-5.8
Milwaukee Bucks,2,0,2,0,48,91.5,32,73.5,43.5,8,20.5,39,19.5,27,72.2,9.5,27.5,37,17,16,7.5,4,3.5,24,24.5,-15
New Orleans Pelicans,3,0,3,0,48,92.3,34,80.3,42.3,8.3,27.3,30.5,16,22.3,71.6,8.3,32,40.3,16.7,14,8,5.3,3.7,16.3,19.3,-15.3
New York Knicks,2,0,2,0,48,105,40,81.5,49.1,8.5,20.5,41.5,16.5,18.5,89.2,9.5,28,37.5,18.5,12.5,6.5,3,5.5,26,15,-6
Orlando Magic,2,0,2,0,48,90.5,32,80,40,10,27,37,16.5,23,71.7,7.5,34,41.5,18,13.5,10.5,4,4.5,23,19,-10
Philadelphia 76ers,2,0,2,0,48,83.5,33,82,40.2,6.5,22.5,28.9,11,15,73.3,11,30.5,41.5,16,17,5.5,1.5,8.5,17.5,16.5,-21
Phoenix Suns,3,0,3,0,48,97.3,38.3,84,45.6,6,19,31.6,14.7,17.3,84.6,9,31.3,40.3,12,12.7,5,2.3,5.7,23.3,18.3,-5.7
Washington Wizards,2,0,2,0,48,90,36,87,41.4,6.5,19.5,33.3,11.5,14.5,79.3,10,26.5,36.5,16.5,15.5,12,1,9,25,18.5,-8.5
