TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Chicago Bulls,2,2,0,1,48,107,38.5,82,47,6,18,33.3,24,32,75,11,30.5,41.5,21.5,9.5,8.5,5,5,17.5,24,4
Houston Rockets,4,4,0,1,48,122.3,43.3,83.8,51.6,18.8,45,41.7,17,22.3,76.4,8,39.5,47.5,30.3,16,5.8,3.3,5.5,19,17.3,19
Indiana Pacers,2,2,0,1,50.5,110.5,38.5,76.5,50.3,8.5,24.5,34.7,25,29,86.2,7.5,23,30.5,20.5,12.5,12.5,3.5,3,22.5,26,5
Miami Heat,2,2,0,1,50.5,107.5,36,79,45.6,12.5,28.5,43.9,23,29,79.3,6.5,35.5,42,24,18,9,9,3.5,20.5,25.5,8.5
Milwaukee Bucks,2,2,0,1,48,116.5,42,81.5,51.5,15,34,44.1,17.5,22,79.5,12,33.5,45.5,28,14,10.5,7,4.5,16.5,17,22
New York Knicks,2,2,0,1,48,104.5,37.5,86,43.6,10.5,29,36.2,19,24.5,77.6,13,43,56,21,18,4,8,3,25,18.5,5.5
San Antonio Spurs,4,4,0,1,48,111,41,84.5,48.5,10.5,26.3,40,18.5,23,80.4,9.8,31.5,41.3,29,10.3,9.8,5.8,2.5,20.5,20,9.8
Washington Wizards,2,2,0,1,53,115.5,43.5,94.5,46,9.5,25.5,37.3,19,22.5,84.4,11.5,39,50.5,25.5,17.5,9,6,2.5,22.5,22.5,7
Golden State Warriors,4,3,1,0.75,49.3,111.5,41.5,87.3,47.6,12,35,34.3,16.5,20.8,79.5,9.8,34.3,44,31,14,11.3,8.5,4.8,17.5,17,11.3
Los Angeles Clippers,4,3,1,0.75,48,109.8,38.5,80.3,48,11.5,29.3,39.3,21.3,27,78.7,7.5,35,42.5,26,9.5,6,4.8,3,16.5,21.3,8.3
Utah Jazz,4,3,1,0.75,49.3,104.8,38.3,80,47.8,11.3,30,37.5,17,21.5,79.1,9.8,37,46.8,22,14.5,8.5,5.5,2.8,17.8,17.8,12.5
Oklahoma City Thunder,3,2,1,0.667,48,111,37.7,82.7,45.6,8.7,26.3,32.9,27,34.7,77.9,11.7,32,43.7,20.3,14.7,9.3,5,3,23.3,24.7,1.7
Portland Trail Blazers,3,2,1,0.667,49.7,115,41.3,82,50.4,9.7,28.7,33.7,22.7,29.7,76.4,9,31.7,40.7,26,12.7,6.3,4,3.3,23.7,23,3.3
Atlanta Hawks,2,1,1,0.5,48,106.5,34.5,75,46,11,30,36.7,26.5,39,67.9,10,30,40,21.5,15,8.5,5.5,4,18.5,30.5,5
Boston Celtics,2,1,1,0.5,48,94.5,32.5,80.5,40.4,10.5,30,35,19,21,90.5,9,33,42,21.5,16.5,9,5.5,5.5,20.5,17,-5.5
Brooklyn Nets,2,1,1,0.5,48,107,36,80.5,44.7,13.5,34,39.7,21.5,25,86,9.5,33,42.5,17.5,17.5,7.5,1.5,3,23,20,-4
Charlotte Hornets,2,1,1,0.5,48,102.5,35,80,43.8,13,37.5,34.7,19.5,21,92.9,10,32,42,25,11,7,5,5.5,19,21,5.5
Cleveland Cavaliers,2,1,1,0.5,50.5,116,42,84.5,49.7,15,37.5,40,17,28,60.7,11.5,31.5,43,28,15,10,4.5,4,20.5,25,4
Denver Nuggets,4,2,2,0.5,48,106.5,39.3,82.3,47.7,13,34.3,38,15,18.3,82.2,7.5,32.3,39.8,25.3,14.5,8.8,4,2.3,17.5,15.5,0.5
Los Angeles Lakers,4,2,2,0.5,48,96.8,36.8,81.8,45,8.8,25.8,34,14.5,20.8,69.9,12.5,28.8,41.3,19.5,18,10.5,2.3,4.5,17.8,17.5,-2.8
Memphis Grizzlies,4,2,2,0.5,48,100.3,35.5,84.3,42.1,9.5,28.5,33.3,19.8,24.8,79.8,14.8,32.8,47.5,20,10.8,5.8,4.3,5.3,23.3,20.3,6.3
Orlando Magic,2,1,1,0.5,48,108.5,41.5,91,45.6,11.5,32,35.9,14,17.5,80,11,33,44,28,13,7.5,4,3.5,16,18.5,1.5
Philadelphia 76ers,2,1,1,0.5,48,111,42,81,51.9,10,28,35.7,17,22,77.3,8.5,25,33.5,26,19,13,3.5,3.5,20.5,23.5,0.5
Dallas Mavericks,3,1,2,0.333,48,91.7,32.7,78.3,41.7,11.7,35.3,33,14.7,18.7,78.6,7.7,33.3,41,19.3,16.7,8.7,6.7,3,16,18,-7.3
New Orleans Pelicans,3,1,2,0.333,48,103.3,39.3,87,45.2,9.3,28.3,32.9,15.3,19.3,79.3,7.7,32.7,40.3,24.7,13.7,10.3,7.7,5.3,19.7,18.7,4.7
Minnesota Timberwolves,4,1,3,0.25,48,106.8,38,82.8,45.9,9,26,34.6,21.8,28.8,75.7,11.3,31.5,42.8,22.3,12,7.5,5,4,21,23,0.3
Phoenix Suns,4,1,3,0.25,48,101,38,92.5,41.1,7.5,25,30,17.5,25,70,12.5,31.3,43.8,18.5,13,7.5,5,5.5,24.5,21.5,-12
Detroit Pistons,2,0,2,0,48,99,38.5,82,47,11,27.5,40,11,16.5,66.7,7,29.5,36.5,20.5,14,10,5,3,22.5,16,-5.5
Toronto Raptors,2,0,2,0,48,95,32,84.5,37.9,8,27,29.6,23,27.5,83.6,14.5,31,45.5,19,10.5,6.5,5.5,6.5,23.5,20,-4
