TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,2,2,0,1,48,114,41,83,49.4,11.5,34,33.8,20.5,26.5,77.4,6.5,40,46.5,29,17,7.5,1.5,5,18,22,13
Charlotte Hornets,2,2,0,1,48,113,40.5,89.5,45.3,13.5,32,42.2,18.5,24,77.1,13.5,31,44.5,27.5,11,4,3.5,8.5,12,21.5,4.5
Cleveland Cavaliers,2,2,0,1,48,122,45.5,87,52.3,14,34.5,40.6,17,22.5,75.6,10.5,33.5,44,24.5,9,6,2.5,1.5,14,20.5,8
Dallas Mavericks,4,4,0,1,48,113.5,42.3,82.3,51.4,14.5,31,46.8,14.5,16.8,86.6,9.3,33,42.3,25,13,8.3,3.8,2.3,15.3,19.3,21
Detroit Pistons,2,2,0,1,48,111.5,46,96,47.9,6.5,20.5,31.7,13,20,65,12,37,49,28,11,8.5,6,3.5,18,19.5,12
Portland Trail Blazers,4,4,0,1,48,107,41.3,86.3,47.8,8.8,24.3,36.1,15.8,22,71.6,9.5,42.3,51.8,23.8,12.3,6.3,5.5,5,17.5,19.3,13.3
Toronto Raptors,2,2,0,1,48,118,43.5,79,55.1,11,23,47.8,20,22.5,88.9,6,36,42,21.5,13.5,6.5,7,2.5,21.5,19.5,21
Utah Jazz,4,4,0,1,48,100.3,35,77.8,45,8.5,27.3,31.2,21.8,30.3,71.9,12,30.3,42.3,18,13.5,5.5,6,3.3,16,24.3,5.8
Washington Wizards,2,2,0,1,48,117.5,46,95,48.4,9,28,32.1,16.5,23,71.7,12.5,30.5,43,25.5,12.5,11.5,4.5,8.5,19.5,21,9.5
Golden State Warriors,4,3,1,0.75,48,116,44,86.3,51,11.8,33,35.6,16.3,23.5,69.1,8.3,38.3,46.5,32.5,17.3,11,6.5,2.8,17.8,20.5,15.5
Los Angeles Clippers,4,3,1,0.75,48,115.8,42,82.5,50.9,11.5,28.8,40,20.3,24,84.4,8.5,34.3,42.8,24.8,14.5,6.8,5,2.5,21,22.5,10.5
San Antonio Spurs,4,3,1,0.75,48,116,45.3,85.5,52.9,10.8,25.3,42.6,14.8,16.8,88.1,7.5,33.3,40.8,31.8,13,8.3,6,2.8,16.5,19.3,15.8
Denver Nuggets,3,2,1,0.667,48,124,45.3,90.3,50.2,14.3,30.3,47.3,19,24.7,77,13,33,46,30.3,14.7,8.7,7,6,17.7,19.3,10
Houston Rockets,3,2,1,0.667,48,129,48.3,90.3,53.5,13.3,36,37,19,26.7,71.3,12.7,34.3,47,33.7,18.7,14.3,2.3,2.7,22,23.7,24
Oklahoma City Thunder,3,2,1,0.667,48,110.7,44.7,94.7,47.2,10,25.7,39,11.3,15,75.6,11.7,36.3,48,28.7,17.7,11.7,6,5.7,16.7,18,10.7
Brooklyn Nets,2,1,1,0.5,48,112.5,39,92.5,42.2,11.5,38,30.3,23,30,76.7,14,40,54,21,15,7.5,5,4,26.5,21.5,1.5
Chicago Bulls,2,1,1,0.5,48,104,38.5,89,43.3,6,21.5,27.9,21,28.5,73.7,15,36,51,24.5,16,10.5,7,3,21,21.5,1
Indiana Pacers,2,1,1,0.5,48,105,37.5,83.5,44.9,9.5,25.5,37.3,20.5,27,75.9,9.5,30.5,40,21.5,19,13.5,7,2.5,16,22.5,-3
Miami Heat,2,1,1,0.5,48,107.5,41.5,88,47.2,9.5,27,35.2,15,24,62.5,10.5,33.5,44,21,11.5,6,6.5,2,19,18,-9.5
Milwaukee Bucks,2,1,1,0.5,48,110.5,40,79,50.6,6,26,23.1,24.5,30.5,80.3,7,31.5,38.5,24.5,17.5,9,7,3.5,27,22,-2
Minnesota Timberwolves,4,2,2,0.5,49.3,118,42.8,86,49.7,8.3,21,39.3,24.3,31.3,77.6,10.8,29.8,40.5,29.3,12.5,10,6.3,5,18.8,24.8,7.3
New Orleans Pelicans,4,2,2,0.5,48,101.3,37.5,86.5,43.4,7.5,24.3,30.9,18.8,24.8,75.8,10.8,34,44.8,24,12.3,7.8,4.5,4.5,13.8,19,-3.5
New York Knicks,2,1,1,0.5,48,112.5,39,83,47,8.5,21.5,39.5,26,32,81.3,7,35,42,18.5,13.5,6.5,7.5,3,19.5,25,-4
Orlando Magic,2,1,1,0.5,48,102,39.5,89.5,44.1,9,26.5,34,14,21.5,65.1,12.5,38,50.5,24.5,16,7.5,7,5.5,20,17.5,1.5
Philadelphia 76ers,2,1,1,0.5,48,103.5,36.5,83.5,43.7,8,27.5,29.1,22.5,28,80.4,10,31,41,25,16.5,7.5,4,7,20.5,21,-4.5
Phoenix Suns,4,2,2,0.5,48,118.5,44,91.3,48.2,8.8,23.3,37.6,21.8,27,80.6,12.5,36.8,49.3,24.5,15.3,7.5,7.5,4.3,24.5,22.5,4.3
Sacramento Kings,4,2,2,0.5,48,99.5,38.8,79.3,48.9,8.3,22,37.5,13.8,19.8,69.6,10.3,31.8,42,22.8,19.3,10.8,4.5,2.3,17.5,17.8,2.8
Memphis Grizzlies,3,1,2,0.333,48,102.7,37,81.7,45.3,11,30.3,36.3,17.7,21.3,82.8,8,30.3,38.3,26.3,12,9,4.3,2.7,18,17.7,-5.3
Atlanta Hawks,2,0,2,0,48,105,40,86.5,46.2,11.5,33.5,34.3,13.5,19.5,69.2,8.5,29,37.5,27.5,15,7.5,3.5,5.5,19,20,-11
