TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Atlanta Hawks,2,2,0,1,48,113,42,89.5,46.9,8,26,30.8,21,25.5,82.4,10.5,33.5,44,28.5,9.5,8,4,5.5,21.5,24.5,6
Charlotte Hornets,2,2,0,1,48,117,40.5,88,46,16.5,31.5,52.4,19.5,23.5,83,11.5,31.5,43,25.5,6.5,9,8.5,2,17.5,19.5,9
Detroit Pistons,2,2,0,1,48,104.5,43,87,49.4,5.5,19,28.9,13,18,72.2,10,32,42,22.5,11.5,10,5,3,16,14.5,14
Houston Rockets,4,4,0,1,48,118,41.3,86.8,47.6,12.3,33.3,36.8,23.3,30.3,76.9,9.3,35.8,45,22.8,13.8,8.8,4.3,3.8,20,21.5,7.3
Memphis Grizzlies,3,3,0,1,48,110.7,41.7,86,48.4,10.7,29,36.8,16.7,21.3,78.1,10.7,31.7,42.3,26,12.3,9.7,3.7,3,24.7,21,9.3
San Antonio Spurs,3,3,0,1,48,122,46.7,85,54.9,10.3,22.3,46.3,18.3,22.7,80.9,6.7,34,40.7,30.3,10,10,7,3.7,16.3,18.3,22
Toronto Raptors,2,2,0,1,50.5,109,42,91,46.2,6,19.5,30.8,19,28,67.9,8.5,35,43.5,19.5,9.5,7.5,5.5,6.5,26.5,22,2.5
Washington Wizards,2,2,0,1,48,107.5,42.5,83,51.2,8.5,22.5,37.8,14,18,77.8,8,31,39,26,15.5,10.5,1.5,2,18,20,8.5
Oklahoma City Thunder,4,3,1,0.75,49.3,116,43.5,95.5,45.5,9.8,28,34.8,19.3,24.3,79.4,11.3,37.3,48.5,22.8,12,9,6.5,5.8,21,19.3,3.3
Portland Trail Blazers,4,3,1,0.75,49.3,117.3,42.5,94,45.2,8.5,27.8,30.6,23.8,30.5,77.9,12.3,32,44.3,20.3,11.8,8,6.3,5.3,24,24.5,1.5
Golden State Warriors,3,2,1,0.667,48,120.7,47,90.7,51.8,11,29,37.9,15.7,18,87,8.3,29.7,38,30.3,12.3,11.3,4.7,2,15,17.7,3.3
Brooklyn Nets,2,1,1,0.5,48,112.5,41,84,48.8,9.5,28,33.9,21,31,67.7,8.5,33.5,42,22.5,17,9,4.5,2,21,24,-7.5
Cleveland Cavaliers,2,1,1,0.5,48,119,44.5,84.5,52.7,15,33.5,44.8,15,18,83.3,7.5,34,41.5,26,13,6.5,3.5,2,14,19,1.5
Miami Heat,2,1,1,0.5,48,109.5,41.5,90,46.1,11,25.5,43.1,15.5,23.5,66,9,35.5,44.5,26,8.5,8.5,8,6.5,23.5,17.5,2.5
Minnesota Timberwolves,4,2,2,0.5,48,106.3,40.8,88.3,46.2,7,20,35,17.8,22.8,78,11.8,30,41.8,24.5,11.5,9.8,4.8,4.5,19,19.8,2.8
Philadelphia 76ers,2,1,1,0.5,48,111,36.5,86.5,42.2,13.5,32,42.2,24.5,31.5,77.8,13.5,30.5,44,22.5,15,8.5,7.5,4.5,29,23,-3
Sacramento Kings,4,2,2,0.5,48,106,41,85.3,48.1,8,20.5,39,16,19.5,82.1,8.8,31.3,40,24,12.8,7,2.3,4,15.5,17.5,-0.5
Utah Jazz,4,2,2,0.5,48,99.3,35.5,81.8,43.4,7.8,25,31,20.5,25.8,79.6,8.3,36.8,45,18.3,11.3,5.3,3.8,4.8,20.3,19.3,2
Los Angeles Lakers,3,1,2,0.333,48,114,45.3,98,46.3,9.7,25.3,38.2,13.7,18.3,74.5,15.3,29,44.3,23.3,14.3,9.3,6,7,19.3,17.7,-10
Dallas Mavericks,4,1,3,0.25,48,99.3,39.3,81,48.5,11.5,29.3,39.3,9.3,12.3,75.5,5.8,27.8,33.5,23,11.8,7.3,4.5,3.5,15.3,15.3,-7.8
Los Angeles Clippers,4,1,3,0.25,48,108.3,42.5,87.5,48.6,12.8,31.3,40.8,10.5,14,75,5.8,30.3,36,25.8,11,5.8,3.5,1,18.5,15.8,-6.8
New Orleans Pelicans,4,1,3,0.25,48,113.5,46,97,47.4,7.3,25.3,28.7,14.3,17,83.8,8.8,31.5,40.3,27.3,9.5,9.5,5,2.8,20.5,17.5,0.3
Boston Celtics,2,0,2,0,48,103,37.5,85.5,43.9,10,29,34.5,18,22,81.8,10,26.5,36.5,25,15,7,3,5,23.5,20.5,-18
Chicago Bulls,2,0,2,0,48,107,43.5,95.5,45.5,8,22,36.4,12,14,85.7,10.5,31,41.5,24,9.5,8,7,4,18.5,15,-10.5
Indiana Pacers,2,0,2,0,48,114.5,46,94.5,48.7,12.5,26.5,47.2,10,12,83.3,11.5,25,36.5,22.5,14.5,9,6,4.5,22,15.5,-18
Milwaukee Bucks,2,0,2,0,48,107.5,41.5,83,50,9,21,42.9,15.5,19,81.6,8,28,36,26,16,8.5,9,3.5,22.5,14,-8
New York Knicks,2,0,2,0,48,118.5,43.5,86.5,50.3,12,30.5,39.3,19.5,22,88.6,9.5,24.5,34,27,12,8,4.5,6,20.5,19,-10.5
Orlando Magic,2,0,2,0,48,112.5,44,88,50,9.5,26,36.5,15,21,71.4,6,26.5,32.5,27.5,9.5,6.5,3,3.5,14,18.5,-10.5
Phoenix Suns,4,0,4,0,48,112.5,41,87,47.1,8.8,22.5,38.9,21.8,28.5,76.3,8.8,29.3,38,16.5,12.3,7.5,4,3.5,28.8,22.3,-10
