TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Chicago Bulls,2,2,0,1,48,112,44,96.5,45.6,10.5,23,45.7,13.5,20.5,65.9,15,41,56,24,10.5,8.5,6,5,21.5,16.5,7.5
Golden State Warriors,4,4,0,1,48,118.5,45,93,48.4,12.3,32.5,37.7,16.3,18.8,86.7,10.5,35.8,46.3,33.5,12.5,7.5,3.8,4.5,16.5,18.3,11
Oklahoma City Thunder,4,4,0,1,48,113.5,42.5,89,47.8,8.3,26,31.7,20.3,28.8,70.4,13,41,54,21.8,13.8,6.3,5.5,4.8,20.5,22.3,9.3
Toronto Raptors,2,2,0,1,50.5,101,39.5,85,46.5,9,26,34.6,13,19,68.4,10.5,37.5,48,20,13.5,5.5,6,5,18.5,18,4.5
Utah Jazz,3,3,0,1,48,107.7,40.7,84.7,48,13,28.7,45.3,13.3,18,74.1,11.7,36,47.7,22.7,13,8.3,3.7,5.3,19.3,16.3,15.3
Washington Wizards,2,2,0,1,48,106,41.5,86,48.3,10,26,38.5,13,16,81.3,8.5,37,45.5,24,12,9.5,4.5,4.5,18,14,13.5
Denver Nuggets,4,3,1,0.75,48,113.3,42.3,88.8,47.6,10,27.8,36,18.8,25,75,11,40.5,51.5,25.3,16.5,5.5,2.8,5,17.5,20.5,-0.3
Houston Rockets,4,3,1,0.75,48,120,42,92.3,45.5,17.8,47.8,37.2,18.3,23.8,76.8,12.5,40,52.5,25.5,15.8,7.5,3.8,7,20.3,18,11.5
San Antonio Spurs,4,3,1,0.75,49.3,103.8,37.5,87.3,43,9.8,25.3,38.6,19,24.8,76.8,10.3,38.8,49,23,11.8,7,5.3,4.8,16.3,19.5,4.8
Los Angeles Clippers,3,2,1,0.667,48,115,45.3,92,49.3,12.7,32.3,39.2,11.7,14.3,81.4,12.3,36,48.3,25.3,10.7,7.3,4.3,3.3,20,15,14
Sacramento Kings,3,2,1,0.667,48,98.7,36.3,83,43.8,8.3,25.3,32.9,17.7,21.3,82.8,9,36.7,45.7,21.7,17,8.3,5.3,7.7,18.7,19.7,-4.7
Atlanta Hawks,2,1,1,0.5,48,96.5,38.5,87.5,44,9.5,26,36.5,10,13.5,74.1,9,38.5,47.5,22.5,15,7,6,6.5,14.5,17,-6.5
Boston Celtics,2,1,1,0.5,48,111,39,94,41.5,15,38.5,39,18,20.5,87.8,13,32.5,45.5,22.5,11,7.5,2.5,5.5,24.5,18.5,4
Brooklyn Nets,2,1,1,0.5,48,119,44,90,48.9,12,36,33.3,19,23,82.6,8,43,51,23,16,7.5,6,6,20,20,10
Cleveland Cavaliers,2,1,1,0.5,48,106,38.5,91.5,42.1,10.5,34,30.9,18.5,23.5,78.7,11,39.5,50.5,20,12.5,7.5,3.5,8.5,16.5,20,3
Dallas Mavericks,4,2,2,0.5,48,102.3,37.3,80.3,46.4,12.3,28,43.8,15.5,18.8,82.7,7.5,32.3,39.8,23.8,11.5,6.5,3,3.3,21.5,18.8,3.3
Detroit Pistons,2,1,1,0.5,48,102,44,95.5,46.1,6.5,24.5,26.5,7.5,17,44.1,14,32,46,20.5,8.5,10,1.5,4.5,15,15,-1.5
Indiana Pacers,2,1,1,0.5,48,96.5,38.5,84,45.8,4,20,20,15.5,20,77.5,6,39.5,45.5,24.5,14,8.5,5,7,19.5,16.5,-2
Los Angeles Lakers,4,2,2,0.5,48,104.8,42.3,88,48,9.8,27.5,35.5,10.5,15.8,66.7,9.5,38,47.5,27,15,9.5,4.5,4.5,19,13.8,3.5
Memphis Grizzlies,4,2,2,0.5,51.8,93,35,91.5,38.3,9,32.3,27.9,14,19.8,70.9,10.8,39.8,50.5,20.5,16,8.8,3.8,6,20.8,20.3,-2.3
Miami Heat,2,1,1,0.5,48,103.5,40,87,46,12,27.5,43.6,11.5,16,71.9,11.5,40.5,52,21,16.5,6.5,3.5,6,21,16.5,2
Milwaukee Bucks,2,1,1,0.5,48,111.5,42,91,46.2,8,25,32,19.5,23,84.8,11,37.5,48.5,26.5,13.5,6.5,5,6,22.5,18,-1
Orlando Magic,2,1,1,0.5,48,93.5,36.5,88,41.5,10.5,29.5,35.6,10,15,66.7,8.5,40,48.5,17.5,15,6.5,6,7,14.5,14.5,-6.5
Philadelphia 76ers,2,1,1,0.5,48,96,36,86.5,41.6,11.5,36.5,31.5,12.5,17,73.5,8.5,36,44.5,22.5,11.5,7,8,2.5,20,16.5,-2
Phoenix Suns,4,1,3,0.25,50.5,111.3,41,93.8,43.7,8.8,28.8,30.4,20.5,25.8,79.6,12,40,52,19.8,16.8,6.8,4.5,8.3,25.5,24,-1.8
Portland Trail Blazers,4,1,3,0.25,48,99.3,36,87.3,41.3,12,32,37.5,15.3,20.5,74.4,11.8,38.5,50.3,21,16.5,4,2.3,7.8,19.8,17.5,-5.8
Charlotte Hornets,2,0,2,0,53,119,43,99.5,43.2,14,44.5,31.5,19,24,79.2,9.5,41.5,51,30.5,12.5,6,3,5,17.5,19.5,-4
Minnesota Timberwolves,3,0,3,0,48,103.7,38.3,84.7,45.3,6,23,26.1,21,27.3,76.8,9.3,27.3,36.7,25,15,11.3,3,3.7,18,19.7,-17
New York Knicks,2,0,2,0,48,94,35.5,89,39.9,9,26,34.6,14,16,87.5,11,36.5,47.5,17.5,14.5,6,5,6,18,13,-13
