TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,2,2,0,1,48,124,45,84,53.6,13.5,29.5,45.8,20.5,23,89.1,8,35,43,33,16,6.5,8,3.5,20.5,20,8
Phoenix Suns,2,2,0,1,48,107,38.5,81,47.5,9,21.5,41.9,21,25.5,82.4,9.5,36.5,46,20,17.5,8,2.5,6.5,28,22,10
Sacramento Kings,2,2,0,1,48,99,35,79.5,44,8,21.5,37.2,21,28,75,8.5,33.5,42,23.5,12.5,6,6.5,5.5,20,23.5,4
San Antonio Spurs,2,2,0,1,48,109,40.5,81.5,49.7,10,24,41.7,18,24,75,6,33.5,39.5,26,13.5,7,10.5,6,18,21,15
Cleveland Cavaliers,4,3,1,0.75,48,103.5,36.3,80.5,45,12.3,33.5,36.6,18.8,25.3,74.3,10.5,33.5,44,21.8,16.5,5.3,5,3.8,17,21.8,-1
Atlanta Hawks,3,2,1,0.667,48,104.7,40,83,48.2,8.7,25,34.7,16,25,64,12,30.3,42.3,23.7,18,7,5.7,5.7,18.3,24,-11.3
Chicago Bulls,3,2,1,0.667,51.3,116,38.3,86.7,44.2,10.7,27.3,39,28.7,33.7,85.1,11,34.3,45.3,24,15.3,7.3,5.7,3.3,24.7,23.7,4.7
Charlotte Hornets,4,2,2,0.5,48,104.8,37.3,83.8,44.5,14.5,34,42.6,15.8,19.8,79.7,11.3,36.3,47.5,22.5,13.8,6.3,4,5.3,16.3,19,8
Houston Rockets,2,1,1,0.5,48,115.5,42,83.5,50.3,12.5,40,31.3,19,21.5,88.4,10.5,28.5,39,28,21.5,7.5,6.5,5,22,20,-3
Los Angeles Clippers,2,1,1,0.5,48,116,40.5,82,49.4,11.5,30,38.3,23.5,30,78.3,7.5,33,40.5,23.5,12,6,4.5,1.5,21.5,27,-0.5
Memphis Grizzlies,2,1,1,0.5,48,103,36,80,45,10.5,24.5,42.9,20.5,25.5,80.4,10.5,27,37.5,17,12,8,4,4,21,23.5,-6.5
Minnesota Timberwolves,2,1,1,0.5,48,111,42,84,50,8,23.5,34,19,22.5,84.4,13.5,26,39.5,20.5,11,5.5,2,4,23,20.5,-5.5
Oklahoma City Thunder,2,1,1,0.5,48,112.5,39,81,48.1,13,29.5,44.1,21.5,25,86,10.5,32.5,43,25.5,19.5,8,3,8,21.5,22,5.5
Orlando Magic,4,2,2,0.5,48,101.8,39,82.5,47.3,5.5,19.5,28.2,18.3,23.8,76.8,8.8,30.5,39.3,19.8,13.8,6.5,4.8,5.8,21,20.5,-10
Indiana Pacers,3,1,2,0.333,48,99.7,36,85.3,42.2,9.7,24.7,39.2,18,21.7,83.1,10.3,29,39.3,19,13,7,3.3,5.7,20.3,20.7,-6
Washington Wizards,3,1,2,0.333,48,104.7,38.7,82.7,46.8,7.3,21.7,33.8,20,25,80,9.3,32.3,41.7,25.3,14.7,7.3,5.7,5,20.7,21.7,-3
Boston Celtics,4,1,3,0.25,48,101.5,35,83.3,42,12.5,35.8,35,19,23.5,80.9,8.3,30.3,38.5,22,12.8,5.5,3,4.5,20,23.3,-5
Detroit Pistons,4,1,3,0.25,48,92.5,35.5,83,42.8,5.5,23.5,23.4,16,22.5,71.1,10.8,33,43.8,16.3,12,6.5,3.5,2.3,20,18.8,-8
Miami Heat,4,1,3,0.25,48,92.3,33.5,81.3,41.2,8.5,25.5,33.3,16.8,25,67,9.8,29.8,39.5,19,15.3,9,7.8,4.3,21.3,20.3,-3.3
Milwaukee Bucks,4,1,3,0.25,48,96.5,37.8,83.8,45.1,7.3,25.8,28.2,13.8,19,72.4,10,30,40,22,11.8,5.3,4,5.3,19.8,19.3,-9.3
Philadelphia 76ers,4,1,3,0.25,48,102,36.5,80.3,45.5,10.5,30.8,34.1,18.5,23.8,77.9,11,30,41,25.3,18.3,6.8,5,5.5,22.3,19.3,-9.8
Brooklyn Nets,4,0,4,0,48,105.3,37,85.5,43.3,11.8,32.8,35.9,19.5,23.3,83.9,9,33.5,42.5,21.3,16,7.3,4.8,7,19.3,18.8,-12.3
Dallas Mavericks,2,0,2,0,48,82,31,83.5,37.1,7,26.5,26.4,13,16.5,78.8,9.5,27.5,37,20.5,9.5,7,5,4.5,17.5,18.5,-15
Denver Nuggets,2,0,2,0,50.5,106.5,36,82,43.9,6.5,23.5,27.7,28,37,75.7,10,42.5,52.5,21.5,13.5,4.5,6.5,5.5,22,26.5,-2.5
Los Angeles Lakers,2,0,2,0,48,97,34.5,92.5,37.3,10.5,29,36.2,17.5,24,72.9,17.5,27,44.5,17.5,13,7,2.5,7,19.5,21.5,-21
New Orleans Pelicans,2,0,2,0,50.5,96.5,37,87,42.5,10.5,29.5,35.6,12,16,75,10.5,33,43.5,19.5,13.5,8.5,5,6,18,18.5,-4.5
New York Knicks,4,0,4,0,48,99,37.3,84,44.3,9.3,26,35.6,15.3,19.3,79.2,10.5,31,41.5,21,15.3,6.5,4,3.5,19,18,-10
Portland Trail Blazers,2,0,2,0,48,98.5,35,81,43.2,8.5,22,38.6,20,26.5,75.5,9.5,37,46.5,19,14.5,7,4.5,4.5,24,18,-5
Utah Jazz,2,0,2,0,48,95.5,34.5,76,45.4,8.5,23.5,36.2,18,21,85.7,10.5,32.5,43,18.5,18.5,4.5,3,5,19,19,-7
