TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Atlanta Hawks,2,2,0,1,48,112.5,44.5,85,52.4,8,25,32,15.5,23.5,66,10.5,39.5,50,27.5,20.5,12.5,5.5,5.5,16.5,23,10
Indiana Pacers,2,2,0,1,48,118.5,44,89,49.4,9,25.5,35.3,21.5,25.5,84.3,10,38.5,48.5,28.5,12.5,8,6,5.5,23.5,23,14
Miami Heat,2,2,0,1,48,113,43,87,49.4,11,32,34.4,16,24,66.7,11.5,37.5,49,24,14,7,4,2,22,19.5,7
Golden State Warriors,4,3,1,0.75,50.5,118,44.5,94,47.3,12.3,38.8,31.6,16.8,22,76.1,10.5,35,45.5,30.3,15.3,9.8,8.8,3,23.5,17.8,7
San Antonio Spurs,4,3,1,0.75,48,104.8,37.5,81.3,46.2,8.8,23,38,21,25.5,82.4,7.8,32.5,40.3,22,12.8,9.8,6.8,4,16,20,2
Utah Jazz,3,2,1,0.667,48,112.3,40.3,75.3,53.5,13,28.7,45.3,18.7,22.7,82.4,6.7,36,42.7,22,14.3,3,4.7,4.3,20,18.7,5.7
Boston Celtics,2,1,1,0.5,48,113,44.5,95,46.8,11,32,34.4,13,14,92.9,11,34,45,30,14.5,8.5,3.5,6,23.5,16,5
Cleveland Cavaliers,2,1,1,0.5,48,120,42.5,81.5,52.1,16.5,37.5,44,18.5,22,84.1,8,34,42,23,13,3.5,4.5,3,22,21,1.5
Detroit Pistons,2,1,1,0.5,48,105,41,97.5,42.1,8,21.5,37.2,15,20,75,15,32,47,23,10,6,2,6,18.5,17.5,1
Memphis Grizzlies,4,2,2,0.5,48,107,39.5,85.8,46.1,10,28.5,35.1,18,25.3,71.3,12,30.5,42.5,23.3,14.8,8.5,4,3.8,21.5,21.8,-7
Milwaukee Bucks,2,1,1,0.5,48,109.5,42,86.5,48.6,9,25.5,35.3,16.5,20.5,80.5,11,32.5,43.5,28.5,18.5,12.5,7,8,17,19.5,-3
Toronto Raptors,2,1,1,0.5,48,118.5,42.5,83,51.2,11.5,24,47.9,22,25.5,86.3,9.5,29,38.5,23.5,17.5,10.5,5,6.5,20,22,3
Los Angeles Clippers,3,1,2,0.333,48,114.7,44.3,93.7,47.3,11.7,31,37.6,14.3,19,75.4,11,30,41,25.7,11,8.3,2.3,3.3,21.3,19,-4.7
Los Angeles Lakers,3,1,2,0.333,48,105,40.3,89,45.3,6.7,26.7,25,17.7,22.3,79.1,11.3,27.3,38.7,17,22.3,11,2.7,2.3,23.7,22,-24
Portland Trail Blazers,3,1,2,0.333,48,113.3,41.3,87.7,47.1,11.7,31.3,37.2,19,24,79.2,9.7,29.3,39,24,13.3,8.3,4.7,5.7,19.7,20,-7.7
Minnesota Timberwolves,4,1,3,0.25,49.3,119,45.5,89.5,50.8,8.8,23.3,37.6,19.3,23.8,81.1,13.3,39.5,52.8,31.3,20,8.5,5,5.3,20.3,20,-1.3
New Orleans Pelicans,4,1,3,0.25,48,108.5,41.5,91.8,45.2,10.3,32.5,31.5,15.3,21,72.6,9.8,35.5,45.3,24.5,13.5,7.8,7,3.8,18,20.3,-11.5
Oklahoma City Thunder,4,1,3,0.25,48,111.3,40.5,87.5,46.3,10.5,28.3,37.2,19.8,25,79,11.3,35,46.3,21.3,14.8,9.3,6,3,19,19.3,-3.8
Brooklyn Nets,2,0,2,0,48,115,41.5,86.5,48,11,32,34.4,21,27.5,76.4,7.5,32,39.5,25,19,9,4.5,4,26,23,-14.5
Charlotte Hornets,2,0,2,0,48,104.5,40.5,88.5,45.8,13.5,34.5,39.1,10,11.5,87,7.5,37.5,45,28,16.5,5.5,4.5,5,19,18,-9.5
Chicago Bulls,2,0,2,0,50.5,105.5,43,99,43.4,8.5,32,26.6,11,15,73.3,12.5,38.5,51,27,16.5,8,5.5,3.5,22,19,-12.5
Dallas Mavericks,4,0,4,0,48,96,33.8,83,40.7,11.3,33,34.1,17.3,20.8,83.1,9.3,27.5,36.8,17.5,10.5,8,3.3,2.8,18.5,20.3,-11.8
Denver Nuggets,4,0,4,0,48,110.8,42.3,95.8,44.1,9.5,32.3,29.5,16.8,22.5,74.4,14.3,35.3,49.5,25.5,15.8,7.8,3.8,4.3,21.5,20,-7.3
New York Knicks,2,0,2,0,48,110.5,42,95,44.2,9,26,34.6,17.5,25,70,10,31,41,19.5,11.5,8.5,4.5,5,21,20.5,-13
Orlando Magic,2,0,2,0,48,98.5,40,89.5,44.7,7,24,29.2,11.5,16.5,69.7,14.5,33.5,48,23,15.5,7.5,3,1.5,18.5,15,-15.5
Philadelphia 76ers,2,0,2,0,48,103,38,84,45.2,7.5,23.5,31.9,19.5,24.5,79.6,6.5,27.5,34,23.5,17.5,12,6.5,7,21,24,-16
Phoenix Suns,4,0,4,0,48,111,41.5,97,42.8,8,27.8,28.8,20,25.5,78.4,16,34,50,20.3,17.5,9.3,6.8,5,25,22.5,-17
Sacramento Kings,4,0,4,0,48,103.3,38.8,88,44,9.3,31,29.8,16.5,22,75,8.3,31.8,40,24.8,11.5,8,5.5,3.3,17.3,19,-19
Washington Wizards,2,0,2,0,48,98.5,38.5,90.5,42.5,8,26.5,30.2,13.5,16,84.4,11.5,33.5,45,21.5,16.5,10.5,3.5,8,18.5,15,-9
