TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Brooklyn Nets,2,2,0,1,48,124,41.5,89.5,46.4,12,33,36.4,29,36,80.6,11.5,46.5,58,23.5,17,8.5,7.5,3,22.5,25,23
Cleveland Cavaliers,2,2,0,1,48,119,43.5,83.5,52.1,17,38,44.7,15,19,78.9,8.5,28.5,37,22,16,7.5,5.5,5.5,18,20.5,9.5
Denver Nuggets,4,4,0,1,48,122.5,41.8,87,48,9.5,23.5,40.4,29.5,33.3,88.7,13,35,48,22.5,14,6.3,3.5,4,22.3,28.8,10
Golden State Warriors,4,4,0,1,48,124.3,43.5,84.3,51.6,12.8,28.3,45.1,24.5,30.5,80.3,7,33.8,40.8,30.3,16,9,6.5,3.3,20.3,26.5,14.3
Houston Rockets,4,4,0,1,48,128,45.3,90.8,49.9,16.3,38.8,41.9,21.3,29.5,72,12,34.3,46.3,27,17,7.8,5,6.8,22.5,25,17
Los Angeles Clippers,4,4,0,1,48,118.3,41.3,81.3,50.8,7.5,18.3,41.1,28.3,37,76.4,8,37,45,19.5,15,5.5,6.8,2.3,23.3,29,11.3
Memphis Grizzlies,3,3,0,1,48,118.3,40.7,79.3,51.3,14,25.7,54.5,23,29,79.3,11,30.3,41.3,24.3,16.7,8.3,4.3,6,23.7,23.7,18.7
Milwaukee Bucks,2,2,0,1,48,118.5,45.5,79,57.6,6.5,18.5,35.1,21,26.5,79.2,7.5,31,38.5,27.5,18,9.5,8.5,4,23,25,14.5
Minnesota Timberwolves,3,3,0,1,48,108.3,40,85,47.1,6.7,19.3,34.5,21.7,24.7,87.8,10.7,30,40.7,22,17,10.3,6.3,5,24.3,24,7
Utah Jazz,3,3,0,1,48,103,37.3,78.3,47.7,9.3,23.3,40,19,25.3,75,8.7,33.7,42.3,20.7,13,4.7,5.7,2.3,18.3,23.3,5.7
Washington Wizards,2,2,0,1,48,118.5,39,90.5,43.1,8.5,23,37,32,43.5,73.6,11.5,33,44.5,22,11.5,11.5,4,7.5,20,28,4.5
New Orleans Pelicans,4,3,1,0.75,50.5,113,40,90.3,44.3,10.8,31,34.7,22.3,30,74.2,8.5,35.8,44.3,22.8,12.5,9.5,8.3,4.5,24,25.5,1.8
Portland Trail Blazers,4,3,1,0.75,49.3,119.8,43.3,90,48.1,12,30.8,39,21.3,26.3,81,9.3,35.3,44.5,20.5,15.3,8,5,4,24.3,23.5,5.5
Sacramento Kings,4,3,1,0.75,48,113,40.8,83.3,48.9,7.8,20.3,38.3,23.8,31.3,76,8,38.8,46.8,24.3,14.5,6.3,5.5,5,21.5,24.5,12
San Antonio Spurs,3,2,1,0.667,48,110.3,40.7,77.3,52.6,6.3,17.7,35.8,22.7,28.3,80,10.3,32.7,43,18,17.3,8.3,3.3,2.3,19.3,26.7,11
Atlanta Hawks,2,1,1,0.5,48,101,39.5,87,45.4,7.5,26,28.8,14.5,19.5,74.4,8,37.5,45.5,22,20.5,7,6,5,22.5,24,1
Boston Celtics,2,1,1,0.5,48,118,38,89.5,42.5,13.5,39,34.6,28.5,37.5,76,13,39,52,25,14.5,7,5.5,6.5,30,29.5,3.5
Charlotte Hornets,2,1,1,0.5,48,111.5,38.5,88,43.8,12,32,37.5,22.5,26,86.5,8.5,29,37.5,24,11.5,11,1.5,5,17,20,-1.5
Chicago Bulls,2,1,1,0.5,50.5,112.5,41.5,92,45.1,8.5,22.5,37.8,21,26.5,79.2,11.5,32,43.5,25.5,11.5,10.5,4.5,7,18.5,20.5,-5.5
Detroit Pistons,2,1,1,0.5,48,106,36,90.5,39.8,10.5,23.5,44.7,23.5,31,75.8,10.5,41.5,52,23,12,6.5,4.5,5,22.5,20.5,5
Indiana Pacers,2,1,1,0.5,48,102.5,35.5,77,46.1,4,15,26.7,27.5,35,78.6,11,31,42,17,18,8,5.5,5.5,17.5,29.5,-2.5
Los Angeles Lakers,4,2,2,0.5,48,114.3,40.8,92,44.3,10,25.5,39.2,22.8,30.3,75.2,11.5,33.5,45,19.3,14,8,4.3,7.5,22.5,24.5,-4.3
Miami Heat,2,1,1,0.5,48,101,39,93.5,41.7,8.5,25,34,14.5,19.5,74.4,16,30,46,17.5,14,10.5,4.5,6,24,23,3
Oklahoma City Thunder,4,2,2,0.5,49.3,109.3,38,89,42.7,7,25.5,27.5,26.3,35,75,14.3,34.3,48.5,17,16.3,8.5,3.8,5.3,25.3,26,-3
Orlando Magic,2,1,1,0.5,48,98,37.5,93.5,40.1,7,24,29.2,16,22,72.7,9.5,34,43.5,19,12,9.5,6,7.5,23,21,0.5
Philadelphia 76ers,2,1,1,0.5,48,118,43.5,84.5,51.5,15,33,45.5,16,21,76.2,7,29,36,28,19.5,9,7.5,6.5,27,21.5,4
Dallas Mavericks,4,1,3,0.25,48,104.3,37,84.8,43.7,12.3,33.5,36.6,18,22.3,80.9,10.5,28.3,38.8,21.8,11,6,5,4.5,20,21.5,-4.3
New York Knicks,2,0,2,0,50.5,108,39,93,41.9,9,20.5,43.9,21,27,77.8,13,31.5,44.5,21.5,13.5,8,3.5,5.5,23.5,23,-2
Toronto Raptors,2,0,2,0,48,97,31.5,79,39.9,7,27,25.9,27,32,84.4,8,31,39,14.5,14.5,10.5,6.5,2.5,22,28,-10
