TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Charlotte Hornets,2,2,0,1,48,118,37,78.5,47.1,10,27,37,34,40.5,84,6.5,33.5,40,22.5,14.5,13,7.5,4,17,25.5,11.5
Golden State Warriors,4,4,0,1,48,121,44.5,86,51.7,13,28.8,45.2,19,25.8,73.8,11.3,33.3,44.5,29.5,15.8,9.5,8.3,5.5,19.5,21,19.8
Indiana Pacers,2,2,0,1,50.5,104,36.5,88,41.5,9.5,24,39.6,21.5,30,71.7,14,30,44,21,16,10,6,9,18.5,22,3.5
Houston Rockets,4,3,1,0.75,48,115,41.8,87.3,47.9,15,40,37.5,16.5,23.8,69.5,9.8,34.8,44.5,27.5,15.3,8.3,3,6,19.3,19,3.8
Portland Trail Blazers,4,3,1,0.75,48,113.3,41,82.8,49.5,9.8,24.8,39.4,21.5,27.5,78.2,10,30.5,40.5,20.3,13.3,8.3,6.3,3.8,22.5,22,5.8
San Antonio Spurs,3,2,1,0.667,48,100,36.3,85,42.7,7.3,22.3,32.8,20,28.3,70.6,12,32,44,18,15.3,9.3,10.7,4.3,21.3,24.3,3
Atlanta Hawks,2,1,1,0.5,48,104.5,37.5,76,49.3,8,22.5,35.6,21.5,28,76.8,6,29.5,35.5,25,16.5,9,2.5,4,22,22.5,-0.5
Chicago Bulls,2,1,1,0.5,48,111,41.5,82,50.6,6.5,17,38.2,21.5,26,82.7,6.5,33.5,40,21.5,10,7,2,4.5,16,20,6.5
Cleveland Cavaliers,2,1,1,0.5,48,108,39.5,85.5,46.2,9,25,36,20,26,76.9,6.5,36.5,43,18,13,9,6,4.5,15,21,3.5
Detroit Pistons,2,1,1,0.5,48,96,40,87,46,3,17.5,17.1,13,16.5,78.8,5,34.5,39.5,18,9.5,5.5,5,4.5,17,18.5,-1
Los Angeles Clippers,4,2,2,0.5,48,100.3,37.3,82.5,45.2,9.5,26.8,35.5,16.3,24,67.7,9,33.8,42.8,20.3,15.5,8.8,4.3,3.8,19.8,21.5,-1
Milwaukee Bucks,2,1,1,0.5,48,88.5,33.5,80,41.9,5,18.5,27,16.5,25,66,8.5,30,38.5,18.5,12,6.5,4.5,6,18,20,-13.5
Orlando Magic,2,1,1,0.5,50.5,112.5,42.5,91.5,46.4,10,27,37,17.5,23.5,74.5,9.5,36,45.5,24,12,6.5,7.5,6.5,21,19.5,-3
Phoenix Suns,4,2,2,0.5,49.3,112.3,42,89,47.2,6.5,22.3,29.2,21.8,28.5,76.3,11,33.3,44.3,18.8,14.5,8,5.3,3.8,26,25.3,3
Toronto Raptors,2,1,1,0.5,48,107,40,82,48.8,8,23,34.8,19,26,73.1,6.5,27,33.5,20,13.5,10,8,3,22,21.5,-5.5
Washington Wizards,2,1,1,0.5,50.5,117.5,43,85.5,50.3,11.5,24,47.9,20,27,74.1,8.5,35.5,44,26,17.5,6,6,3,24.5,22,5.5
Dallas Mavericks,3,1,2,0.333,48,97.7,37.7,83.3,45.2,9.3,26.7,35,13,16,81.3,7,30.3,37.3,21.3,11.7,9.3,2.7,3.7,20.7,19.7,1
Los Angeles Lakers,3,1,2,0.333,48,100,39,90.3,43.2,9.3,31.3,29.8,12.7,18,70.4,10.7,31.7,42.3,22.7,17.3,12.7,5.7,6,18,16.7,-10.7
Sacramento Kings,3,1,2,0.333,48,109.3,38.7,86.7,44.6,8.7,24.7,35.1,23.3,26.7,87.5,11.3,30.3,41.7,22,15.7,8.7,3,5,24.7,23.3,-1.7
Denver Nuggets,4,1,3,0.25,49.3,112.8,41.8,92.3,45.3,9.8,29.3,33.3,19.5,24.5,79.6,9.3,38.3,47.5,24,14.5,7,5.8,6.5,19.3,21,-3.3
Memphis Grizzlies,4,1,3,0.25,48,102.8,39.5,83.8,47.2,8,22.8,35.2,15.8,21,75,9.8,26.5,36.3,21,12.5,9,6,4.3,24.8,19.3,2.8
Minnesota Timberwolves,4,1,3,0.25,48,96.5,37.3,84.8,44,4.5,17.3,26.1,17.5,22.8,76.9,12,26.5,38.5,19,14.3,10.3,4.8,4.8,19.8,21.8,-6
Utah Jazz,4,1,3,0.25,48,103.5,39.3,81,48.5,9,21.5,41.9,16,20.5,78,6.8,30.5,37.3,18.8,11,7.8,4.8,5.8,18.8,19.5,1.8
Boston Celtics,2,0,2,0,48,104,40.5,91.5,44.3,10,30,33.3,13,17,76.5,11,28.5,39.5,28.5,13.5,8.5,3,6.5,25.5,15,-4
Brooklyn Nets,2,0,2,0,48,104.5,34,77,44.2,11.5,26.5,43.4,25,30,83.3,5.5,25.5,31,19.5,18,6,4,5.5,21,25.5,-18.5
Miami Heat,2,0,2,0,48,89.5,33.5,83,40.4,5.5,19.5,28.2,17,21.5,79.1,10.5,26,36.5,13,12.5,9,5.5,4.5,19.5,19.5,-12
New Orleans Pelicans,4,0,4,0,48,104.3,38.8,90.5,42.8,8.3,24,34.4,18.5,24.5,75.5,8.5,32.8,41.3,20,10.5,7.3,4.8,5.5,22.3,20.5,-9.3
New York Knicks,2,0,2,0,48,104,38.5,88.5,43.5,8.5,20,42.5,18.5,21,88.1,9,30.5,39.5,19.5,10,8.5,11.5,5.5,18.5,17.5,-10
Philadelphia 76ers,2,0,2,0,48,97,36.5,85.5,42.7,7.5,24.5,30.6,16.5,21,78.6,5.5,28.5,34,20,12,6.5,7,5.5,22.5,20,-15.5
