TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,2,2,0,1,48,108,40.5,81.5,49.7,12.5,35.5,35.2,14.5,17.5,82.9,5.5,32.5,38,27,11,3.5,4.5,2.5,18.5,20,9.5
Cleveland Cavaliers,2,2,0,1,48,120.5,46,87.5,52.6,14,38,36.8,14.5,22,65.9,10.5,35,45.5,32,10,6.5,7,2.5,15.5,18.5,18
Detroit Pistons,2,2,0,1,48,116.5,43,91,47.3,12.5,27.5,45.5,18,22.5,80,14.5,31,45.5,23.5,9,6.5,2.5,4,18.5,17.5,17.5
Miami Heat,2,2,0,1,48,119,47.5,85.5,55.6,11.5,27,42.6,12.5,16.5,75.8,11.5,27.5,39,28,16,5.5,7,3.5,18.5,18,10
New Orleans Pelicans,3,3,0,1,48,120.7,46.3,82.7,56,11.7,26.3,44.3,16.3,21.7,75.4,7,36.7,43.7,28.3,18,8.3,3.7,3,19.7,18,17
New York Knicks,2,2,0,1,48,112,41,88.5,46.3,12.5,31.5,39.7,17.5,22.5,77.8,11.5,29.5,41,25,14.5,8.5,4.5,5.5,22,21,3
San Antonio Spurs,4,4,0,1,49.3,106,39.3,82.3,47.7,8.3,22.5,36.7,19.3,25,77,8.8,29,37.8,21.5,11.8,9.8,4.8,3.3,21.3,21.5,9
Golden State Warriors,4,3,1,0.75,48,113.5,42,84,50,11.3,27.5,40.9,18.3,22,83,9.5,31.8,41.3,28.3,13,9,6,2.8,19.5,18.3,8.5
Houston Rockets,4,3,1,0.75,49.3,120.3,41,93.5,43.9,18.3,51.8,35.3,20,26.5,75.5,11.5,28,39.5,29.3,14,11.8,5.3,5,20,20.3,1.3
Memphis Grizzlies,4,3,1,0.75,48,95.5,31,77,40.3,6.8,23.5,28.7,26.8,33.3,80.5,11.3,30,41.3,15.3,13.5,9.5,6.3,4.5,22.8,24.3,-0.5
Oklahoma City Thunder,4,3,1,0.75,48,102.5,39.3,84.8,46.3,6.3,20.5,30.5,17.8,23.5,75.5,13.5,32.5,46,22.8,15.8,8.5,4.8,4.8,21.8,19.8,6
Portland Trail Blazers,4,3,1,0.75,48,105.3,38.5,77.8,49.5,10.5,27.3,38.5,17.8,24,74,5.8,32.3,38,20,11.8,7.5,6,4.3,19.3,19.3,6
Sacramento Kings,4,3,1,0.75,48,106.5,40.3,81.3,49.5,10.3,22.8,45.1,15.8,21.8,72.4,7.8,29,36.8,25.3,14.8,6,4,5,23,21,-0.3
Utah Jazz,4,3,1,0.75,48,101.5,38,80.3,47.4,7.5,21.3,35.3,18,23.8,75.8,11,29,40,22.3,12.5,8.8,5.3,3.3,21,21,-2.3
Brooklyn Nets,2,1,1,0.5,48,114,41.5,80.5,51.6,9.5,27,35.2,21.5,25.5,84.3,5,36.5,41.5,20,18,5.5,5.5,5.5,18.5,21,-5.5
Charlotte Hornets,2,1,1,0.5,50.5,117.5,43.5,90.5,48.1,12.5,30,41.7,18,24,75,8.5,35,43.5,27.5,14,8,7,7.5,16.5,19,1
Denver Nuggets,4,2,2,0.5,48,103.5,40.3,84.5,47.6,8.5,27,31.5,14.5,19.5,74.4,10.3,32.8,43,26,17.5,6.5,4.5,4.8,19.8,19,-2.8
Indiana Pacers,2,1,1,0.5,48,111.5,41,81,50.6,7.5,18,41.7,22,26,84.6,8.5,32,40.5,23,17,7.5,4.5,7,22,21,2.5
Los Angeles Lakers,4,2,2,0.5,49.3,110.8,40.3,82.3,48.9,10.3,25.3,40.6,20,23.5,85.1,10,30.8,40.8,22,17.5,6.5,5,6.3,24.8,18.8,-7.3
Milwaukee Bucks,2,1,1,0.5,48,100.5,38.5,77,50,8,19,42.1,15.5,20,77.5,9,25.5,34.5,20.5,13.5,4.5,5,4.5,21,19.5,-5
Philadelphia 76ers,2,1,1,0.5,48,89.5,32,84,38.1,8,32,25,17.5,22,79.5,12.5,31.5,44,17,16.5,9.5,4.5,7,19,21.5,-11
Toronto Raptors,2,1,1,0.5,48,116.5,42.5,83,51.2,11.5,27.5,41.8,20,26.5,75.5,13,26,39,22,11,5.5,4,2,20.5,23,5.5
Washington Wizards,2,1,1,0.5,48,108,41,81.5,50.3,9.5,24,39.6,16.5,20,82.5,6.5,29,35.5,23,14,6.5,4.5,4.5,21.5,19.5,-4
Dallas Mavericks,3,1,2,0.333,48,91.3,35.7,79.3,45,11,30,36.7,9,12.3,73,6.3,27.3,33.7,20.3,13.7,6.7,5,3,19.3,17.3,-3.7
Los Angeles Clippers,3,1,2,0.333,48,103.7,39,82,47.6,8,23.3,34.3,17.7,26.3,67.1,11,28.7,39.7,22.3,14,8.3,4.3,3,19.3,25,-1.7
Atlanta Hawks,2,0,2,0,48,87,34.5,82.5,41.8,7.5,29,25.9,10.5,15,70,12.5,28,40.5,19.5,14.5,8.5,7.5,4.5,17,15,-11
Chicago Bulls,2,0,2,0,48,91.5,36.5,85.5,42.7,7,20,35,11.5,16,71.9,11,27.5,38.5,21,14,7,4,6,20,14,-16.5
Orlando Magic,2,0,2,0,50.5,106,39.5,90.5,43.6,9,29.5,30.5,18,24.5,73.5,11.5,32,43.5,21,10,4.5,4,8,22,21.5,-11
Phoenix Suns,3,0,3,0,48,101.3,35.7,82.3,43.3,7.3,22,33.3,22.7,29.3,77.3,11,31,42,17.7,19.3,9.7,5,6.3,24,24.3,-7
