TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
San Antonio Spurs,3,2,1,0.667,48,111.3,40.3,86,46.9,11,25,44,19.7,23.3,84.3,14.7,33,47.7,24,17,9.3,6.3,5.7,16.3,19,13
Boston Celtics,2,1,1,0.5,48,93.5,34,83.5,40.7,10.5,30.5,34.4,15,19,78.9,8,36,44,23.5,13.5,9,2,9.5,11,20,-1.5
Chicago Bulls,2,1,1,0.5,48,93,36.5,87,42,4.5,21.5,20.9,15.5,20,77.5,11,35.5,46.5,22,15.5,8,3.5,5.5,16,17.5,-12
Cleveland Cavaliers,2,1,1,0.5,48,100,34,91.5,37.2,10.5,34.5,30.4,21.5,29.5,72.9,12.5,27,39.5,15.5,13.5,10.5,3,7.5,20,23,-17
Memphis Grizzlies,4,2,2,0.5,49.3,109.8,40,90.5,44.2,9.5,28.5,33.3,20.3,25,81,14,30.5,44.5,23.3,14.5,10,2.3,7.5,22,21.3,0.8
Miami Heat,2,1,1,0.5,48,100,38,88,43.2,9.5,30,31.7,14.5,22,65.9,8.5,37,45.5,22.5,13,7.5,4,5.5,20.5,18,-4.5
Washington Wizards,2,1,1,0.5,48,113.5,42,91.5,45.9,11,27.5,40,18.5,22.5,82.2,13,29,42,28.5,17.5,10,4.5,8,21,21.5,-10
Denver Nuggets,3,1,2,0.333,48,117.3,44.7,94.3,47.3,15.3,37.3,41.1,12.7,17,74.5,15.7,32.3,48,31,18.7,7.7,2,4.7,17.7,15,-3.3
Utah Jazz,3,1,2,0.333,48,92.7,35,85.7,40.9,10.7,34.3,31.1,12,18.7,64.3,12,34.3,46.3,20.7,16.7,7,2.7,4.3,18.7,19.3,-10.3
Houston Rockets,4,1,3,0.25,50.5,111,39.5,95,41.6,9.5,36.8,25.9,22.5,27.5,81.8,14,31.8,45.8,23,16.3,8.5,3,8.8,17.8,23.5,-7
Los Angeles Lakers,4,1,3,0.25,48,100.5,39.5,92.8,42.6,6.3,22.3,28.1,15.3,20,76.3,12,31.3,43.3,22.8,16,9.8,2.8,6.5,20.5,17.8,-15.5
Minnesota Timberwolves,4,1,3,0.25,48,105,39.3,88.5,44.4,6.8,23,29.3,19.8,25.3,78.2,14.3,30.5,44.8,20.5,13.5,6.5,2.8,6,18.3,19.5,-8.5
Sacramento Kings,4,1,3,0.25,49.3,100.3,38,83.5,45.5,8.8,24,36.5,15.5,19.5,79.5,6.8,34.3,41,24,19.3,8.8,4.8,8.5,17,17.5,-11.3
Atlanta Hawks,2,0,2,0,48,105.5,37,83.5,44.3,10,28.5,35.1,21.5,30.5,70.5,13.5,35,48.5,19.5,19,8.5,5,7,22.5,21,-6.5
Brooklyn Nets,2,0,2,0,48,98,38,90,42.2,10.5,31.5,33.3,11.5,16.5,69.7,9,40,49,23.5,22,7,4.5,9,17.5,18,-16.5
Charlotte Hornets,2,0,2,0,48,107,38.5,90,42.8,8,27,29.6,22,23.5,93.6,9,35,44,29.5,12.5,5,4.5,13.5,16,18.5,-12.5
Dallas Mavericks,3,0,3,0,48,93.7,35.3,90.3,39.1,8.3,31.3,26.6,14.7,18.3,80,12.3,28,40.3,22,9.3,9.7,3.7,3.7,15.3,18,-18.3
Detroit Pistons,2,0,2,0,48,110,43,86.5,49.7,8,28.5,28.1,16,24,66.7,7,31,38,21,17,11,3.5,3,20.5,17.5,-13
Indiana Pacers,2,0,2,0,48,94.5,34,94,36.2,4.5,19,23.7,22,23.5,93.6,12,32.5,44.5,16.5,13.5,7.5,4.5,11.5,22,19.5,-36.5
Los Angeles Clippers,4,0,4,0,48,107.3,37.5,86.8,43.2,10.3,26.8,38.3,22,30.5,72.1,11,27.5,38.5,21.5,14.3,7,2.8,6.3,19,23.5,-21.5
Milwaukee Bucks,2,0,2,0,48,106.5,41,89,46.1,9.5,23.5,40.4,15,19.5,76.9,11,27,38,23,12,7.5,4,5.5,20,20.5,-14
New Orleans Pelicans,4,0,4,0,48,107.5,41.8,87,48,7.8,24.8,31.3,16.3,22.5,72.2,8.8,34,42.8,26.3,15,7.8,4.5,3.8,18.3,16.5,-11
New York Knicks,2,0,2,0,48,97.5,38.5,88,43.8,6,21.5,27.9,14.5,22,65.9,13,35,48,18.5,14,7.5,5.5,6.5,15,17.5,-10
Oklahoma City Thunder,4,0,4,0,48,101.3,37.5,86.8,43.2,7,25,28,19.3,28.5,67.5,12.5,27.5,40,20.3,16.3,9,5.5,8.3,21,19.5,-19.8
Orlando Magic,2,0,2,0,48,95,38.5,95,40.5,7,27.5,25.5,11,18.5,59.5,14,31,45,20,16.5,8,5.5,6.5,21,16.5,-25
Philadelphia 76ers,2,0,2,0,48,106,38,85.5,44.4,9,30.5,29.5,21,27,77.8,12.5,34.5,47,26,23,10.5,6.5,7.5,25.5,21,-6.5
Phoenix Suns,4,0,4,0,48,110,41.8,93.5,44.7,8.5,26.5,32.1,18,24.5,73.5,13.3,31.5,44.8,24,14,10.3,3.3,6.5,26.5,20.3,-14.3
Portland Trail Blazers,4,0,4,0,48,105.5,39.3,88.5,44.4,11,30,36.7,16,20.3,79,8.3,29,37.3,22,16,9.5,3.8,6,21.5,18.3,-19.5
Toronto Raptors,2,0,2,0,48,116,38.5,92.5,41.6,11.5,30,38.3,27.5,31.5,87.3,16,29.5,45.5,20,11,10.5,3.5,8,20,20.5,-8
