TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Dallas Mavericks,2,2,0,1,48,112.5,38.5,78.5,49,15.5,32,48.4,20,24.5,81.6,3.5,37.5,41,22,12.5,4.5,2,4,21.5,21,6.5
Houston Rockets,2,2,0,1,48,107.5,39,82.5,47.3,14.5,38,38.2,15,19.5,76.9,6.5,32.5,39,26.5,16.5,7.5,8,3.5,15,18.5,9
Miami Heat,4,4,0,1,48,110.5,42.8,85.3,50.1,9.3,23.8,38.9,15.8,23.3,67.7,12.5,32.8,45.3,22,15.8,6.8,5.3,2.3,17.8,20.3,6.3
San Antonio Spurs,2,2,0,1,48,109.5,39.5,77.5,51,8.5,22,38.6,22,31,71,9,28.5,37.5,24.5,14.5,9,5,2,17,26,7
Utah Jazz,2,2,0,1,48,98.5,33.5,72,46.5,10.5,24.5,42.9,21,31.5,66.7,8,38,46,19,18.5,9.5,9,1,18.5,25,8.5
Cleveland Cavaliers,3,2,1,0.667,49.7,120,42,87,48.3,15,34.7,43.3,21,27,77.8,12,29.7,41.7,23.7,16,7.3,4.7,4.7,21.7,23,1.3
Philadelphia 76ers,3,2,1,0.667,48,107.3,40.3,83.7,48.2,10,29.3,34.1,16.7,24.3,68.5,9.3,36.7,46,26,16.7,7,3.3,3,23.7,23,-0.3
Toronto Raptors,3,2,1,0.667,48,107.7,39,82.7,47.2,9.3,23.3,40,20.3,26,78.2,10.3,33.7,44,16,14.3,9.7,5,5.7,21.7,20.7,3
Boston Celtics,4,2,2,0.5,48,107,39,85.8,45.5,11.8,34.5,34.1,17.3,23,75,11,29.3,40.3,21,13.5,7.5,5,4.5,18.3,21.3,-5.8
Golden State Warriors,2,1,1,0.5,48,123.5,44.5,86,51.7,12,32.5,36.9,22.5,26.5,84.9,11.5,31,42.5,31,17.5,8.5,8,4.5,21.5,21,10
Los Angeles Clippers,2,1,1,0.5,48,121.5,45,85,52.9,9.5,27,35.2,22,30.5,72.1,10,30.5,40.5,27.5,12.5,6.5,2.5,2,22.5,27.5,1
Memphis Grizzlies,2,1,1,0.5,50.5,106.5,36,85.5,42.1,11.5,28,41.1,23,30,76.7,14,32,46,22,13,8.5,1.5,3.5,23,24,3
Minnesota Timberwolves,2,1,1,0.5,48,112,43.5,87,50,8.5,19.5,43.6,16.5,19.5,84.6,10,32,42,24.5,12.5,7,4.5,4.5,19.5,21.5,4
Oklahoma City Thunder,2,1,1,0.5,50.5,112,40,95.5,41.9,9.5,32,29.7,22.5,30.5,73.8,14.5,32.5,47,22,14.5,10,3,6,22,24.5,-5.5
Orlando Magic,4,2,2,0.5,48,104.3,38.3,82.5,46.4,10.5,28,37.5,17.3,25.5,67.6,11.3,33.3,44.5,19.8,14,6.3,7,4.3,17,20.3,1.5
Detroit Pistons,3,1,2,0.333,48,107.3,42.7,89,47.9,10.3,27.3,37.8,11.7,16,72.9,9.7,32,41.7,23,13,7,2.3,3,21.3,19.3,-5.7
Atlanta Hawks,4,1,3,0.25,48,98,35,85,41.2,8.5,26.8,31.8,19.5,27,72.2,10.8,35.3,46,22,18.8,11.3,5.8,5.8,19.5,23.3,-4.5
Charlotte Hornets,4,1,3,0.25,48,103.5,37,81.3,45.5,10.8,30.8,35,18.8,23.8,78.9,8,30.5,38.5,23.3,12.5,6.8,6,4,18.5,20,-3.8
Chicago Bulls,4,1,3,0.25,48,102.3,39,92,42.4,7,22.5,31.1,17.3,20.8,83.1,14.8,34.8,49.5,23.3,15.5,6.5,4.5,5.5,18.8,20.8,-1.5
Indiana Pacers,4,1,3,0.25,48,104.3,40.3,84.5,47.6,6.5,22,29.5,17.3,20.8,83.1,7.3,30.8,38,23,12.8,6.5,3.8,3.5,20.8,20.3,-5.5
Milwaukee Bucks,4,1,3,0.25,48,107.8,40.5,81.5,49.7,9.3,23.3,39.8,17.5,21.3,82.4,8,30.8,38.8,25.8,15.5,7.8,3.5,3.8,19,19,2.8
Brooklyn Nets,4,0,4,0,49.3,106.5,38.3,82,46.6,8.3,25,33,21.8,29.3,74.4,10,33.8,43.8,21.8,18.5,6.3,3,5.5,19.3,22,-13.3
Denver Nuggets,2,0,2,0,48,99,38.5,81.5,47.2,10,30,33.3,12,20.5,58.5,12,30,42,27.5,22.5,7,2,1.5,20,18,-8.5
Los Angeles Lakers,2,0,2,0,48,108,41.5,86,48.3,10,30.5,32.8,15,19,78.9,11.5,33.5,45,20,19,6,8.5,4.5,21,19.5,-9.5
New Orleans Pelicans,2,0,2,0,48,92.5,37.5,84,44.6,7.5,24.5,30.6,10,18.5,54.1,9.5,32.5,42,21.5,15,6,4.5,4.5,14,18,-13.5
New York Knicks,4,0,4,0,48,106.5,39.3,91,43.1,7.8,24.3,32,20.3,24.5,82.7,16.5,27.8,44.3,20.3,13,8.3,2.3,4.8,17.5,21.8,-7.3
Phoenix Suns,2,0,2,0,48,114,41.5,89.5,46.4,12,27,44.4,19,24,79.2,11,39.5,50.5,22.5,20,4,7.5,4,28,20,-4.5
Portland Trail Blazers,2,0,2,0,50.5,112.5,42.5,91,46.7,12,29,41.4,15.5,20.5,75.6,10.5,33.5,44,24,15,5,5,4.5,19.5,19,-10
Sacramento Kings,2,0,2,0,53,108.5,41,92.5,44.3,7.5,22,34.1,19,27,70.4,10.5,31.5,42,23.5,15.5,10,2.5,6,22.5,22.5,-7
