TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,4,3,1,0.75,48,101,37,81.5,45.4,10.5,30.5,34.4,16.5,22,75,8.8,34.3,43,19.5,18.3,7.3,4.8,3.5,20.5,22.8,5.8
Toronto Raptors,4,3,1,0.75,48,113.8,37.5,88.5,42.4,10.8,34.5,31.2,28,32,87.5,11.5,34.3,45.8,19.8,17,10.5,5.8,6.5,24.8,26,12.3
Cleveland Cavaliers,4,2,2,0.5,48,111.3,39.5,83.8,47.2,13.5,33,40.9,18.8,25.3,74.3,8.8,32.5,41.3,24.5,13.8,7.3,3.3,4,19.5,20.5,4
Golden State Warriors,2,2,0,1,48,129.5,49,86.5,56.6,10.5,25,42,21,23,91.3,7.5,36,43.5,28,17.5,10,8.5,3.5,20.5,20.5,14.5
Indiana Pacers,3,2,1,0.667,48,103.7,39.3,90.3,43.5,7.3,26.3,27.8,17.7,23,76.8,9.3,33,42.3,23.3,12,11.3,5.3,6,20,22,0
Miami Heat,4,2,2,0.5,48,102.3,36.8,83.8,43.9,11.5,29.3,39.3,17.3,25.3,68.3,9,32,41,22,13.8,8.5,6.8,3.3,19,22.5,0.5
Milwaukee Bucks,4,2,2,0.5,48,103.5,38.8,86.8,44.7,9.5,27,35.2,16.5,20.5,80.5,10.5,29,39.5,23.8,15.5,9.3,5,6,20,19,-9.3
Oklahoma City Thunder,2,2,0,1,55.5,120.5,46,102.5,44.9,12.5,34,36.8,16,24.5,65.3,17.5,33,50.5,24.5,14.5,8.5,4,4.5,23,23,6
Sacramento Kings,2,2,0,1,48,105,40.5,92,44,9.5,27,35.2,14.5,25.5,56.9,8.5,33.5,42,25,10.5,8.5,5.5,5.5,19.5,23.5,3.5
Washington Wizards,4,2,2,0.5,48,111,40.5,89.5,45.3,8.5,24,35.4,21.5,26.3,81.9,12.3,31.3,43.5,25.3,13,9.8,5.5,5.3,27,21.3,0.5
Brooklyn Nets,4,1,3,0.25,48,106,36.5,83,44,13.8,33,41.7,19.3,25.5,75.5,9,32,41,20.3,15.5,4.3,6.3,6.3,20.5,20.8,-11.3
Chicago Bulls,3,1,2,0.333,48,111,41.3,94.3,43.8,14,33,42.4,14.3,18.7,76.8,8.7,34.7,43.3,24.7,13.7,7.3,4.3,6.7,19,20,-4.3
Houston Rockets,2,1,1,0.5,48,106,34.5,79,43.7,12.5,43,29.1,24.5,31,79,8.5,29,37.5,19.5,17,11.5,8,5.5,18,25,-3.5
Los Angeles Lakers,2,1,1,0.5,48,108,42,102.5,41,7,27.5,25.5,17,25.5,66.7,18.5,32,50.5,20,10.5,10,6.5,14,23,22.5,-1.5
Memphis Grizzlies,2,1,1,0.5,48,105,36.5,88.5,41.2,9.5,26.5,35.8,22.5,27.5,81.8,13,26.5,39.5,19.5,12.5,10,2,4,23,24.5,-5
New Orleans Pelicans,2,1,1,0.5,48,106.5,39.5,87.5,45.1,11.5,27.5,41.8,16,24,66.7,6.5,33,39.5,24,13.5,9.5,7.5,4,16.5,22.5,-5.5
Phoenix Suns,2,1,1,0.5,48,112.5,40.5,89.5,45.3,10,24.5,40.8,21.5,28,76.8,13.5,27,40.5,21.5,13.5,9.5,6.5,6.5,21.5,27,0.5
Portland Trail Blazers,2,1,1,0.5,48,97.5,32.5,82,39.6,7.5,25,30,25,35.5,70.4,9.5,38,47.5,14.5,16,7.5,4.5,5,17.5,23.5,-8
Atlanta Hawks,3,0,3,0,48,104.3,39.3,97.7,40.3,10,33,30.3,15.7,22.7,69.1,11.7,37.3,49,24.3,15,10,3.7,6,22,22,-9.3
Charlotte Hornets,4,0,4,0,48,102.3,34.8,81.8,42.5,9.3,26.3,35.2,23.5,31.8,74,7.5,30.3,37.8,20,11.3,7.5,4,5,15.5,22,-14
Dallas Mavericks,2,0,2,0,48,103.5,39,84,46.4,15,40,37.5,10.5,16,65.6,6.5,31.5,38,23,15,6.5,4,2.5,12,20,-7
Denver Nuggets,2,0,2,0,48,103,35.5,85.5,41.5,9,32,28.1,23,34,67.6,9.5,33,42.5,22.5,15,10,8,4.5,16.5,26.5,-12
Detroit Pistons,4,0,4,0,48,93.8,34,82.3,41.3,9.5,29.8,31.9,16.3,23.3,69.9,7.8,30,37.8,21,15.8,6.5,3.3,2.8,20.3,20.5,-14.8
Los Angeles Clippers,2,0,2,0,48,101.5,37,85,43.5,10,32,31.3,17.5,27.5,63.6,10,33.5,43.5,18,16,7.5,4.5,5,21,22,-9
Minnesota Timberwolves,2,0,2,0,50.5,110,40.5,102,39.7,5.5,26,21.2,23.5,32.5,72.3,15,36.5,51.5,19,12,10.5,5,6.5,24,23.5,-9
New York Knicks,4,0,4,0,48,100.3,37.5,88.5,42.4,6,22.5,26.7,19.3,26.5,72.6,10.8,31.3,42,20,15.5,6,4.5,4.8,22.5,21,-12
Orlando Magic,3,0,3,0,48,104.7,38,87.3,43.5,11.7,31.7,36.8,17,24,70.8,6.7,31.3,38,25,11.7,8.3,4.3,3.7,18.7,17.7,-16.7
San Antonio Spurs,2,0,2,0,48,92,34.5,81,42.6,5.5,24.5,22.4,17.5,20.5,85.4,8.5,31,39.5,17.5,13,5,4.5,4.5,19.5,20.5,-12.5
Utah Jazz,2,0,2,0,48,91.5,30,92,32.6,9,33.5,26.9,22.5,27,83.3,10.5,29,39.5,16.5,13,15,5,6.5,21,26,-14
