TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Oklahoma City Thunder,4,4,0,1,49.3,117.5,39.3,83.8,46.9,16.3,37.8,43,22.8,34.5,65.9,10.5,31.5,42,24.3,10.8,7,4.3,3.5,21.5,27.3,10
San Antonio Spurs,4,4,0,1,48,101.8,35.5,75.8,46.9,8.8,23.3,37.6,22,28,78.6,6.8,32.3,39,22.3,13,10,5,4,16,23,12.5
Dallas Mavericks,4,3,1,0.75,48,100.8,36,84,42.9,10,29.3,34.2,18.8,25,75,8.8,36.3,45,21,11,8.3,3,4.5,18.5,23.5,9.8
Denver Nuggets,4,3,1,0.75,48,98.3,34.8,77.3,45,7.8,27.3,28.4,21,28.3,74.3,12.8,33,45.8,18.5,17.3,11,3.8,5,20.8,23,5
Phoenix Suns,4,3,1,0.75,48,103.8,35.3,79.5,44.3,7.8,23,33.7,25.5,34,75,10.3,32,42.3,21,16.8,8,3.5,8.8,23.5,26.5,0.3
Utah Jazz,3,3,0,1,48,98,34,72.3,47,10.3,28.3,36.5,19.7,27,72.8,8,35,43,21.3,19,7.7,5.7,4.7,17.3,23,10.3
Boston Celtics,2,2,0,1,48,105.5,39,83,47,13,33.5,38.8,14.5,20.5,70.7,11.5,31.5,43,23,12.5,5.5,5.5,2.5,21,20.5,10
Brooklyn Nets,2,2,0,1,48,108,34.5,73,47.3,14.5,34.5,42,24.5,31.5,77.8,10.5,31.5,42,23,20.5,6,8,3,22,28.5,6.5
Charlotte Hornets,2,2,0,1,48,122,43,90.5,47.5,13,28.5,45.6,23,28,82.1,10.5,44,54.5,20,10.5,6.5,5.5,7.5,19.5,23,33
Chicago Bulls,2,2,0,1,48,115,38.5,79.5,48.4,13,35,37.1,25,32.5,76.9,8.5,33,41.5,24,17.5,10,1.5,3.5,22.5,24,5
Cleveland Cavaliers,2,2,0,1,48,114,41,81,50.6,11,26.5,41.5,21,22.5,93.3,4,34.5,38.5,25,14.5,10.5,8,4,18.5,22,14
Golden State Warriors,3,2,1,0.667,48,113,39,81,48.1,12.3,30.7,40.2,22.7,25.7,88.3,11,31.7,42.7,27.7,14.3,7.3,7,3.3,21.3,23.3,5.3
Houston Rockets,4,2,2,0.5,48,98.8,33.3,78.8,42.2,14.3,41,34.8,18,23.3,77.4,9.3,34,43.3,20.5,16.8,7.8,4.5,5,24.3,19.8,3.8
Indiana Pacers,2,2,0,1,48,110.5,40,77.5,51.6,11,25,44,19.5,25.5,76.5,6.5,28,34.5,24.5,13,11,5,5.5,16,20,3.5
Los Angeles Clippers,4,2,2,0.5,48,109.5,38.8,78.3,49.5,9,27.5,32.7,23,29.8,77.3,6.8,30.5,37.3,19.5,13.3,7.8,5.8,5.8,22,26.8,1.3
Los Angeles Lakers,4,2,2,0.5,48,105,37,90,41.1,10.5,32,32.8,20.5,28,73.2,13.3,32.5,45.8,20.8,14.3,7,4.5,7.5,21.3,22.3,-1.8
Miami Heat,2,2,0,1,48,111,39,77.5,50.3,13,30,43.3,20,25.5,78.4,8,34.5,42.5,25.5,12,11.5,7,2,19.5,22,25.5
Milwaukee Bucks,2,2,0,1,48,115.5,43.5,81.5,53.4,12,23.5,51.1,16.5,23.5,70.2,10.5,31,41.5,28,15,6,5,3,20.5,24,12.5
New Orleans Pelicans,4,2,2,0.5,48,106.8,37,80,46.3,10.3,30.8,33.3,22.5,28.5,78.9,10.5,34.5,45,22.5,14.8,7.3,7.8,3.8,22.8,25.8,5
Orlando Magic,2,2,0,1,48,104,37,73.5,50.3,10.5,27,38.9,19.5,23.5,83,5.5,35.5,41,22,19,5,8.5,3,22.5,21,4.5
Portland Trail Blazers,4,2,2,0.5,48,103.3,36.5,81.8,44.6,8,25.5,31.4,22.3,26.8,83.2,10.3,35.5,45.8,16.3,14.8,6.5,5,6.5,19,22.5,4.3
Toronto Raptors,2,2,0,1,48,108.5,39,83.5,46.7,9.5,33,28.8,21,24,87.5,10,30,40,21,11.5,10.5,5,4.5,21.5,24,12
Washington Wizards,2,2,0,1,48,97.5,34.5,80.5,42.9,9.5,24.5,38.8,19,29,65.5,9,37,46,21,14.5,7,7.5,5.5,22.5,24,4
Atlanta Hawks,2,1,1,0.5,48,101,38,80,47.5,10,28,35.7,15,18.5,81.1,7.5,28,35.5,28,15.5,12.5,5,5.5,17.5,24,12
Detroit Pistons,2,1,1,0.5,48,110.5,36.5,84.5,43.2,15,36,41.7,22.5,30,75,9,30.5,39.5,25,11,9,2,3.5,18.5,21,-5.5
Minnesota Timberwolves,3,1,2,0.333,48,99.3,36.7,81.7,44.9,6.3,21,30.2,19.7,23,85.5,10.7,30.3,41,21.7,14.3,8.7,5,5.7,16.3,21.7,2.7
New York Knicks,2,1,1,0.5,48,99,35,74.5,47,8,20.5,39,21,25,84,11,32.5,43.5,22,16.5,6.5,7.5,4,18,21.5,2.5
Philadelphia 76ers,2,1,1,0.5,48,110,39,77.5,50.3,12.5,31,40.3,19.5,25.5,76.5,10,33,43,26.5,19,5,4,2,24.5,23,5
Sacramento Kings,3,1,2,0.333,48,92.7,36.3,83.7,43.4,8.7,25,34.7,11.3,18.3,61.8,11,31.7,42.7,20.3,17.7,8,3.3,6.7,20.7,16.7,-11.7
