TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Charlotte Hornets,4,4,0,1,48,120.5,42.3,87.8,48.1,14.5,33.8,43,21.5,27.5,78.2,10.3,36.5,46.8,25.3,13.5,6.8,4,3.8,21.3,24.5,13.5
Toronto Raptors,4,4,0,1,48,109.3,41.3,91.5,45.1,12.5,35.3,35.5,14.3,18.8,76,14.8,33.8,48.5,25.8,14.3,10.3,9.5,5.8,21.8,19,19.5
Boston Celtics,4,3,1,0.75,48,111.3,41.3,83.5,49.4,12.5,29.3,42.7,16.3,20.5,79.3,8.3,33.3,41.5,27,13,7.3,4.5,3.3,21,19.5,4.3
Brooklyn Nets,4,3,1,0.75,48,109.5,39,85.3,45.7,14,34.8,40.3,17.5,24,72.9,12.5,35.5,48,27.8,19,7,5.8,3,24.3,22,6.3
Chicago Bulls,3,3,0,1,48,111,39.7,88,45.1,12.7,33.7,37.6,19,23,82.6,11.7,40.7,52.3,27.3,12.3,7.7,3,4.7,20.7,19.3,9.3
Cleveland Cavaliers,4,3,1,0.75,48,120.5,44.3,86.8,51,15.8,37,42.6,16.3,21,77.4,9.8,32,41.8,30.8,13.8,7,4.3,4.5,21,18.8,7.5
Detroit Pistons,4,3,1,0.75,48,108.8,38.3,86.3,44.3,12.8,31.5,40.5,19.5,24.3,80.4,14,32,46,26.3,15.8,6.5,4.3,5,21.8,20,6
Indiana Pacers,4,3,1,0.75,48,108.8,42.8,91,47,10.3,27.3,37.6,13,15.5,83.9,10.8,35.8,46.5,22.8,16.8,11.5,4,7,18.5,18.3,13.3
Miami Heat,4,3,1,0.75,48,106,39.5,87.3,45.3,11.5,33.3,34.6,15.5,19.5,79.5,9.8,36,45.8,21.3,16,10,7.5,3.5,20,17.8,9.3
Milwaukee Bucks,3,3,0,1,48,112,41,85,48.2,10.7,25.3,42.1,19.3,23.3,82.9,9.3,35.7,45,28,12,9,7,4,23,20,7
Philadelphia 76ers,3,3,0,1,48,113.7,43.7,93.7,46.6,12.7,36.7,34.5,13.7,22.7,60.3,11.7,41.7,53.3,33,16.3,9,6,3.7,22,22,9.3
Golden State Warriors,2,2,0,1,48,110,42,86,48.8,11.5,30.5,37.7,14.5,16.5,87.9,6,34.5,40.5,30.5,12.5,10,5.5,3.5,18.5,17.5,8.5
Houston Rockets,2,2,0,1,48,118.5,43,89.5,48,18,49.5,36.4,14.5,17,85.3,7.5,37,44.5,28,12.5,10.5,4,5,14,15,17
Los Angeles Clippers,2,2,0,1,48,112,41,80.5,50.9,12,24,50,18,26.5,67.9,10,30,40,23,17,8.5,6.5,5,20,23,7
Los Angeles Lakers,2,2,0,1,48,127.5,47.5,88,54,15.5,34.5,44.9,17,22,77.3,8,46,54,30,20.5,10.5,6,3.5,24,16.5,19
Oklahoma City Thunder,2,2,0,1,48,119.5,43,85.5,50.3,14.5,30,48.3,19,28,67.9,12,27,39,25.5,13.5,10,8,4,19.5,24.5,7.5
Orlando Magic,4,2,2,0.5,49.3,102,40,92.5,43.2,9.5,31.8,29.9,12.5,15.3,82,10.5,31.5,42,23.8,11.8,8.5,5.3,4.8,19.8,16.8,-1.8
Washington Wizards,4,2,2,0.5,48,109.5,40.3,82.8,48.6,10.8,26.3,41,18.3,22.8,80.2,9,32.3,41.3,26,15.5,8.8,6.3,4.3,20.5,20.3,6
Denver Nuggets,2,1,1,0.5,48,101,40,93,43,6.5,28.5,22.8,14.5,21.5,67.4,12.5,30.5,43,26,12,10.5,5,4,15,22,-4
Memphis Grizzlies,2,1,1,0.5,48,89,35,78.5,44.6,8,23.5,34,11,15,73.3,9.5,30.5,40,22,24.5,9.5,5.5,5,24,17.5,-12
Minnesota Timberwolves,2,1,1,0.5,48,113,43.5,86.5,50.3,10,24.5,40.8,16,19.5,82.1,7,29,36,28.5,13.5,12,3,5,19,20,3.5
New Orleans Pelicans,2,1,1,0.5,48,99.5,38,77.5,49,11.5,30,38.3,12,18,66.7,8,32.5,40.5,29,16.5,7.5,5.5,2,16.5,20,0
New York Knicks,3,1,2,0.333,48,103.7,40,84,47.6,7.3,23.3,31.4,16.3,21,77.8,9,30.7,39.7,20.7,15.7,6.7,7,3,21.7,18.7,-3.7
Phoenix Suns,2,1,1,0.5,48,108,42.5,84.5,50.3,9,24,37.5,14,20.5,68.3,8,36,44,28.5,18,6.5,5,4,20.5,20,0
Portland Trail Blazers,2,1,1,0.5,48,99.5,39.5,82.5,47.9,10,27.5,36.4,10.5,13.5,77.8,10.5,34.5,45,24.5,19,10,6.5,4,19,16,3
Sacramento Kings,2,1,1,0.5,48,92.5,37,90.5,40.9,8,24.5,32.7,10.5,14.5,72.4,11.5,28.5,40,23,13,10,5.5,4,18.5,16.5,-15.5
San Antonio Spurs,2,1,1,0.5,48,97.5,38.5,88,43.8,9,26.5,34,11.5,13,88.5,11,33.5,44.5,26.5,13.5,9.5,5,4.5,15,19,4
Dallas Mavericks,2,0,2,0,48,109,40.5,85.5,47.4,13,39,33.3,15,18,83.3,8,27.5,35.5,29,13.5,6.5,3.5,4,18,18.5,-5.5
Utah Jazz,2,0,2,0,48,92,33,82.5,40,5,24.5,20.4,21,26.5,79.2,9.5,35.5,45,18,16.5,8,7,4,18.5,23.5,-9.5
