TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Milwaukee Bucks,4,4,0,1,48,107.5,39,81,48.1,8.3,23.3,35.5,21.3,27.3,78,7.5,34.8,42.3,25,13.3,8.8,7.5,5.5,16.8,20.8,9.3
Philadelphia 76ers,4,4,0,1,48,112.3,40.5,86.5,46.8,11,28.8,38.3,20.3,28.8,70.4,13,36,49,27.8,15,9.3,4.8,4.5,21,22.5,12
Boston Celtics,4,3,1,0.75,48,106.8,38,84.3,45.1,12.8,31.5,40.5,18,23.5,76.6,7.5,35,42.5,22.8,11.3,10.3,4,3.3,20.3,19,12.8
Chicago Bulls,4,3,1,0.75,50.5,102.5,38.8,89.5,43.3,8.8,29,30.2,16.3,22.5,72.2,9,37.5,46.5,23.3,15,9.5,5.5,6,17,19.5,-2
Detroit Pistons,3,3,0,1,48,110,42,88,47.7,9.7,26.3,36.7,16.3,20.7,79,13.3,30,43.3,21.3,11.3,7,4,4,17,19.7,4.3
Orlando Magic,4,3,1,0.75,48,106.8,40,83.3,48,10.3,29,35.3,16.5,23,71.7,7.5,33.3,40.8,26.5,12.5,9.5,5,6.8,13.3,19.3,8.8
Toronto Raptors,4,3,1,0.75,48,113,42.8,88.3,48.4,13.8,35.5,38.7,13.8,17,80.9,9.5,37,46.5,28.3,11.8,5.5,7.3,5.8,19.5,16.3,16.5
Atlanta Hawks,3,2,1,0.667,48,107.3,39.7,87.7,45.2,12.3,31.7,38.9,15.7,20.3,77,10.7,29,39.7,25.7,14,6,3,7,18.7,21.7,3.7
Charlotte Hornets,4,2,2,0.5,49.3,115,42.3,90.5,46.7,11,29.5,37.3,19.5,23.3,83.9,13.3,31.8,45,22.5,14.3,7.5,4.3,4,15.8,21,-0.3
Cleveland Cavaliers,4,2,2,0.5,48,105,35.8,87,41.1,12.8,36.8,34.7,20.8,26.3,79,11.3,33.5,44.8,21.3,15.5,7.5,4.3,4.8,18.5,22.3,-3.5
Golden State Warriors,2,2,0,1,48,124,45,84,53.6,14,30.5,45.9,20,23,87,5.5,34,39.5,35.5,12,7,4,1.5,14.5,19,12.5
Houston Rockets,2,2,0,1,48,118,41.5,91,45.6,18.5,49.5,37.4,16.5,21.5,76.7,9,35,44,25.5,11,9,5,2,17.5,19,18.5
Indiana Pacers,3,2,1,0.667,48,112.3,43.3,86.3,50.2,11.7,26.3,44.3,14,18,77.8,9,35,44,26.3,13.7,7.7,4,4,17.7,18,6.3
Miami Heat,4,2,2,0.5,49.3,102.5,37.5,86.8,43.2,11,35.3,31.2,16.5,20.3,81.5,9,28.3,37.3,24,12.5,9.8,4,4.5,18.8,21.3,-7
Minnesota Timberwolves,2,2,0,1,48,113,42,85,49.4,10,26.5,37.7,19,24,79.2,11,33,44,28,13.5,9,5,3,13.5,22,7
Portland Trail Blazers,2,2,0,1,48,107,36,82,43.9,13.5,27,50,21.5,25,86,10,38,48,20,16,7,3.5,5,18.5,19.5,18
San Antonio Spurs,2,2,0,1,48,109.5,36,81,44.4,9.5,23.5,40.4,28,36.5,76.7,12,34.5,46.5,23,8.5,6.5,4.5,7.5,17.5,24.5,10.5
Washington Wizards,3,2,1,0.667,48,112,44.3,85.3,52,7.3,21.3,34.4,16,22.7,70.6,8.7,35.7,44.3,27.7,13,8.7,7,4,17.7,18.7,6.3
Dallas Mavericks,2,1,1,0.5,48,103,37.5,90.5,41.4,10,29.5,33.9,18,21,85.7,10.5,29.5,40,22,9.5,9,2,3.5,17.5,20.5,4.5
Denver Nuggets,2,1,1,0.5,48,120,41.5,82.5,50.3,16,34.5,46.4,21,27.5,76.4,7.5,26.5,34,28,13,8,3.5,7.5,21,23.5,3
Los Angeles Clippers,2,1,1,0.5,48,106.5,40,84.5,47.3,9.5,28.5,33.3,17,22.5,75.6,12,31.5,43.5,27,16.5,13,4.5,4.5,20,24,0.5
Los Angeles Lakers,2,1,1,0.5,50.5,118,46.5,96.5,48.2,11.5,30.5,37.7,13.5,18,75,16,29.5,45.5,27.5,11,8,4.5,6,18.5,18,8
Memphis Grizzlies,2,1,1,0.5,48,96.5,35,80.5,43.5,11,28,39.3,15.5,19.5,79.5,9.5,26,35.5,18.5,13.5,8.5,4,7.5,21.5,18,-2.5
New Orleans Pelicans,2,1,1,0.5,50.5,113,41.5,89.5,46.4,7.5,29,25.9,22.5,30.5,73.8,8,39,47,21.5,14.5,10,6,7,18,25.5,1.5
Oklahoma City Thunder,2,1,1,0.5,48,100.5,37.5,87.5,42.9,11.5,32.5,35.4,14,21,66.7,14.5,27,41.5,22,17,11.5,7,3.5,22,22.5,3
Sacramento Kings,2,1,1,0.5,48,96.5,34.5,83,41.6,10,26,38.5,17.5,20.5,85.4,9,31,40,20,12,5.5,4.5,6.5,18,20.5,-12
Brooklyn Nets,4,0,4,0,48,97.3,33.8,83,40.7,10.8,35.3,30.5,19,24,79.2,9.5,33.5,43,17.5,15.8,6.5,2.8,6.5,21.3,19.8,-14.8
Phoenix Suns,2,0,2,0,48,96,33.5,95.5,35.1,10,32.5,30.8,19,25,76,16,28.5,44.5,16,12.5,6.5,3,8.5,24.5,22,-17.5
Utah Jazz,2,0,2,0,48,108,38,85,44.7,14,33,42.4,18,23.5,76.6,12,32.5,44.5,19,15,4.5,8,5.5,21.5,22.5,-3.5
