TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Charlotte Hornets,4,4,0,1,48,116.3,43.3,88.8,48.7,9.8,24,40.6,20,25.5,78.4,10,41.5,51.5,26.5,13.5,9.3,5.3,3,18,21.5,14
Chicago Bulls,4,4,0,1,48,103,38.5,86,44.8,12,33.5,35.8,14,17.5,80,10,39.5,49.5,23.8,14.5,7.3,5,3.8,16.5,15.5,13
Boston Celtics,4,3,1,0.75,48,102.3,37.3,86.8,42.9,11.3,32,35.2,16.5,21.8,75.9,12.3,37.5,49.8,22.8,14.3,7.3,6.5,6,19,19.3,8
Brooklyn Nets,4,3,1,0.75,48,114,40.5,89.3,45.4,10.3,30.3,33.9,22.8,28.5,79.8,12.5,36.8,49.3,22,13.8,8.5,6.3,4.3,20.8,21.5,2.8
Indiana Pacers,3,3,0,1,48,113.3,42,85,49.4,9.3,21.3,43.8,20,24.7,81.1,8.3,34.7,43,25,13,11,4.3,7.7,22.3,20.3,7.3
Milwaukee Bucks,4,3,1,0.75,48,110,44,88.3,49.9,8,23.5,34,14,18.8,74.7,10,35.3,45.3,25.5,14.3,9,5,3.8,18.8,16.3,5.3
Philadelphia 76ers,3,3,0,1,48,121.3,44,88.3,49.8,13.3,32.7,40.8,20,23.7,84.5,10.3,41,51.3,32,14.3,6.3,3.7,4.3,17.7,18.7,16.7
Toronto Raptors,3,3,0,1,48,107.3,39.7,79.3,50,14.3,35.3,40.6,13.7,21.7,63.1,6.3,38.3,44.7,26.7,15.3,8,6.7,4.3,17.7,17.3,10.3
Washington Wizards,4,3,1,0.75,48,115.5,45,90.3,49.9,9.3,26.5,34.9,16.3,21.8,74.7,14,30.5,44.5,26.8,14,8.3,3.8,4.3,21,21.3,10.3
Atlanta Hawks,4,2,2,0.5,49.3,103.8,39.8,86.3,46.1,12.8,31.5,40.5,11.5,16,71.9,8.5,38.3,46.8,29,16,4.5,4.8,5.3,16.8,19.8,1.8
Cleveland Cavaliers,4,2,2,0.5,48,106.5,38.5,87.3,44.1,11,32.5,33.8,18.5,26.3,70.5,12,30.8,42.8,20.3,17,6.8,4.3,5.5,21.3,23.5,-8.5
Denver Nuggets,2,2,0,1,48,114,44,86,51.2,9,25,36,17,21.5,79.1,9.5,37.5,47,25,13,8,5.5,6,18,18,16
Golden State Warriors,2,2,0,1,48,121.5,49.5,88,56.3,10,23.5,42.6,12.5,13.5,92.6,9.5,36.5,46,40.5,17.5,6.5,8,3.5,18.5,16.5,15.5
Houston Rockets,2,2,0,1,48,115,40.5,83,48.8,14,34.5,40.6,20,24.5,81.6,8.5,37,45.5,21,14,5.5,4,3.5,17,20.5,12.5
Los Angeles Clippers,2,2,0,1,48,109.5,40,83,48.2,9.5,22,43.2,20,24,83.3,7,39,46,21,12,9.5,4.5,4,19.5,16,9.5
Miami Heat,4,2,2,0.5,48,110.5,42.5,93.3,45.6,8.5,27.5,30.9,17,21.8,78.2,13.8,33.8,47.5,23.5,13,7,3.8,7,19,21,3.8
Portland Trail Blazers,2,2,0,1,48,97,37.5,86.5,43.4,11,22.5,48.9,11,14,78.6,8,35,43,19.5,14,7,5.5,3.5,15,17,6
Sacramento Kings,2,2,0,1,48,99.5,39.5,85,46.5,8.5,25.5,33.3,12,14,85.7,12,35,47,24,16,8,7,4,18,17,6
Utah Jazz,2,2,0,1,48,109.5,41.5,85.5,48.5,12,32.5,36.9,14.5,18,80.6,10,41,51,27,13.5,9,5.5,4.5,20.5,19.5,27
Dallas Mavericks,2,1,1,0.5,48,107,41,86,47.7,9.5,28,33.9,15.5,19.5,79.5,8,32.5,40.5,25.5,8,4.5,1.5,7,22.5,19,5
Detroit Pistons,3,1,2,0.333,49.7,103,39,89.3,43.7,12.7,28.7,44.2,12.3,18,68.5,9.7,31.3,41,23,14.3,8.7,2.7,3.3,17,18.7,-6
Los Angeles Lakers,2,1,1,0.5,48,106.5,41,85.5,48,7.5,26.5,28.3,17,21,81,9,32,41,22.5,15.5,7,2,4,17,22.5,-10.5
Minnesota Timberwolves,2,1,1,0.5,48,113,41.5,92.5,44.9,7.5,19.5,38.5,22.5,27.5,81.8,10.5,29,39.5,20.5,8,9.5,6,7,19,23,0
New Orleans Pelicans,2,1,1,0.5,48,105,41,85.5,48,8.5,29,29.3,14.5,21,69,10,35.5,45.5,26.5,17.5,9.5,3.5,1.5,23.5,19,-1
New York Knicks,4,1,3,0.25,48,98,40.8,89.5,45.5,5.3,19.8,26.6,11.3,14,80.4,11.3,32.8,44,22.3,14.5,5.8,6.8,5,19.3,13.3,-8.8
Oklahoma City Thunder,2,1,1,0.5,48,110,40,92,43.5,11.5,28.5,40.4,18.5,25,74,17.5,31.5,49,20.5,16.5,7,5.5,6.5,16.5,20.5,-3
San Antonio Spurs,2,1,1,0.5,48,97.5,35,86.5,40.5,6.5,21.5,30.2,21,25,84,14,34.5,48.5,21.5,15.5,9,7.5,5,14,21.5,4.5
Memphis Grizzlies,2,0,2,0,48,99.5,38.5,87.5,44,8,26,30.8,14.5,21,69,9,29.5,38.5,22.5,12.5,10.5,3,8.5,21,22.5,-4.5
Phoenix Suns,2,0,2,0,48,105.5,40,91.5,43.7,6,26.5,22.6,19.5,25.5,76.5,11,29.5,40.5,17,14.5,11,3.5,6.5,25.5,19,-11
