TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,4,4,0,1,48,122.8,47,85.8,54.8,13.3,30.5,43.4,15.5,18.5,83.8,9.8,37.3,47,35.3,15.5,6.8,6.5,2.5,21,17.3,16.5
Houston Rockets,4,4,0,1,48,105,37,81.5,45.4,15.5,47,33,15.5,23,67.4,5.8,40.3,46,18.3,11.3,8.5,4.8,2,20.8,20.8,13.3
Minnesota Timberwolves,4,4,0,1,48,103.3,38.3,79.5,48.1,9.5,24.5,38.8,17.3,20.8,83.1,9,37.3,46.3,23.3,14.3,7.8,4.3,3.8,17.5,19.5,10.8
Los Angeles Lakers,4,3,1,0.75,49.3,114.3,43.3,87.3,49.6,11.5,31.5,36.5,16.3,23,70.7,10,41.8,51.8,27.5,15.8,6.3,2.8,3.3,22.3,19.8,7.8
New Orleans Pelicans,4,3,1,0.75,48,115,43.8,89,49.2,9.3,27.8,33.3,18.3,23.5,77.7,7,37.3,44.3,27.8,10.8,7.8,4,3.8,18.3,20.3,6
Phoenix Suns,3,3,0,1,48,107.7,41,79.3,51.7,11.3,27,42,14.3,19.3,74.1,6.7,40.7,47.3,25,17.3,7.7,5,3.3,23.3,18.3,15.7
San Antonio Spurs,4,3,1,0.75,48,99.8,38,83.5,45.5,7,25.8,27.2,16.8,21.3,78.8,7.8,37.3,45,19.8,9.8,6.3,4.8,2.5,14.3,19.3,2.3
Utah Jazz,3,3,0,1,48,106.7,39.3,84.3,46.6,12.3,32,38.5,15.7,19,82.5,7.7,31.7,39.3,27.7,12.3,11,5.7,4.7,18.3,18.3,9.7
Atlanta Hawks,2,2,0,1,48,114.5,45,84.5,53.3,9.5,21,45.2,15,18.5,81.1,10,34,44,24.5,14,8,4,3.5,18.5,18,5.5
Boston Celtics,2,2,0,1,50.5,103.5,37,85.5,43.3,12.5,35,35.7,17,21.5,79.1,7,46,53,24.5,14.5,8,6,4,19.5,17,7.5
Brooklyn Nets,2,2,0,1,48,111.5,42.5,87,48.9,12.5,32.5,38.5,14,22,63.6,12,35.5,47.5,25,12,4.5,3.5,3,17.5,22,6.5
Chicago Bulls,2,2,0,1,48,117.5,43,83.5,51.5,12,27.5,43.6,19.5,25.5,76.5,9.5,34,43.5,24.5,16,9.5,2.5,3,18.5,19.5,5.5
Cleveland Cavaliers,2,2,0,1,48,104.5,35,83,42.2,11.5,28.5,40.4,23,29,79.3,10,41.5,51.5,19.5,14,7.5,2,3,15,23,9
Denver Nuggets,4,2,2,0.5,48,102,37.5,87.5,42.9,11.3,32.8,34.4,15.8,22.5,70,12.5,37,49.5,23.5,14,6.5,6,4.3,19.8,19.3,-5.8
Los Angeles Clippers,3,2,1,0.667,48,101.7,37.7,83.7,45,9.7,25.7,37.7,16.7,21.3,78.1,7.7,34.3,42,23.7,13.3,9,4.7,5.7,18.7,21.7,-0.7
Miami Heat,2,2,0,1,48,104,40,73.5,54.4,14,28,50,10,12.5,80,6.5,31.5,38,24,14.5,6,7,2.5,17,17,9.5
Oklahoma City Thunder,4,2,2,0.5,49.3,104.3,37.5,83.5,44.9,12,33.8,35.6,17.3,22,78.4,10.3,34,44.3,20.5,16.8,8.3,2.8,3.8,20.5,19.5,-1.3
Philadelphia 76ers,2,2,0,1,48,110.5,44.5,89,50,12,31,38.7,9.5,14,67.9,10,37,47,28.5,12.5,9.5,2.5,4,20,12,7
Portland Trail Blazers,3,2,1,0.667,48,111,41,84,48.8,12.7,35.3,35.8,16.3,19,86,8,38.7,46.7,22.3,14,4.3,3.7,4.3,20,18.7,5.7
Sacramento Kings,4,2,2,0.5,48,100.8,41.3,87.3,47.3,9,25.5,35.3,9.3,12.5,74,9.5,33.5,43,24.5,12.5,7.8,4,5,20,14.3,-0.8
Charlotte Hornets,2,1,1,0.5,48,106.5,39,88,44.3,11,25.5,43.1,17.5,29.5,59.3,8.5,44,52.5,18.5,12,8,4.5,6.5,18,22,0
Detroit Pistons,2,1,1,0.5,50.5,103,39.5,84.5,46.7,9.5,27,35.2,14.5,19.5,74.4,6,37.5,43.5,21.5,12,5,3,6,19,18.5,-5
Memphis Grizzlies,4,1,3,0.25,48,91,32.5,77.5,41.9,9,28,32.1,17,21.3,80,7.5,36.3,43.8,19,16.8,6.3,4.5,3,23.5,18.5,-9.8
Milwaukee Bucks,2,1,1,0.5,48,94,32,76.5,41.8,7,24.5,28.6,23,32.5,70.8,7.5,31.5,39,16.5,11,9,5.5,2,24.5,24,-12.5
New York Knicks,2,1,1,0.5,48,98.5,39,82.5,47.3,7,20.5,34.1,13.5,16,84.4,10,41.5,51.5,20.5,17.5,6.5,3.5,2,20.5,17.5,-4.5
Orlando Magic,2,1,1,0.5,48,102,37.5,82.5,45.5,9.5,29,32.8,17.5,24.5,71.4,10.5,33.5,44,27,13,3,7,1.5,19,22.5,-5
Toronto Raptors,2,1,1,0.5,50.5,107.5,36.5,90,40.6,9.5,30.5,31.1,25,31.5,79.4,14,35,49,21,13,7.5,7.5,8,22.5,25.5,1
Indiana Pacers,2,0,2,0,48,98.5,39.5,83,47.6,7.5,22.5,33.3,12,16.5,72.7,8,36.5,44.5,24.5,13.5,7,4,3,18,16.5,-5
Washington Wizards,2,0,2,0,48,87,29,80.5,36,8.5,28.5,29.8,20.5,29.5,69.5,10,33,43,18,13.5,6,5,8.5,18.5,22,-18.5
