TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,4,4,0,1,48,103.5,40.3,91.3,44.1,8.5,25.5,33.3,14.5,20.5,70.7,12.3,39,51.3,17.5,12.5,7.3,7.5,6,16.8,17.3,6.3
Indiana Pacers,4,4,0,1,49.3,120,45.5,89.5,50.8,8.3,22.5,36.7,20.8,25.8,80.6,10.5,35.3,45.8,25.3,11.5,9,8,2,22.5,20.5,7.5
New York Knicks,4,4,0,1,48,112,41.5,89.5,46.4,10.3,22.3,46.1,18.8,25.3,74.3,12.8,35.5,48.3,22.8,11.5,7.3,6.5,2.8,19.8,21.3,14.8
Toronto Raptors,4,4,0,1,49.3,116.5,45.5,93.8,48.5,10.5,30.3,34.7,15,20.5,73.2,9.3,38.8,48,24.5,11.8,7.5,7.5,4.5,21.8,20.8,13
Cleveland Cavaliers,4,3,1,0.75,48,119,44,86.8,50.7,12.5,30.3,41.3,18.5,26.5,69.8,9.5,36.5,46,22.8,13.3,6.3,3,2,20.3,21.8,4.5
Detroit Pistons,4,3,1,0.75,48,109.3,42,89.8,46.8,8.8,23.3,37.6,16.5,21.5,76.7,9,40,49,20.5,9.5,8,3.5,4,15.3,17.8,13.5
Philadelphia 76ers,4,3,1,0.75,48,117.3,44.8,89.3,50.1,9.3,23,40.2,18.5,24,77.1,9.5,35,44.5,27,8.3,9.5,6.3,6.3,20.8,20.5,11.3
Charlotte Hornets,3,2,1,0.667,48,111,39.7,88.7,44.7,6,18.7,32.1,25.7,32.3,79.4,14,38.7,52.7,22,13.7,3.7,4.3,8.7,17.3,28.7,2.3
Denver Nuggets,2,2,0,1,48,118,45.5,93.5,48.7,10,27,37,17,21,81,6.5,40,46.5,24.5,12.5,11.5,8,5,21.5,17,10.5
Golden State Warriors,2,2,0,1,48,116,46.5,86.5,53.8,10.5,23.5,44.7,12.5,17,73.5,5.5,43.5,49,29.5,16,8,10.5,1.5,22.5,19.5,10
Houston Rockets,2,2,0,1,48,120,43.5,83.5,52.1,18,41.5,43.4,15,20.5,73.2,8,33,41,23.5,13,7.5,5.5,3,16.5,18,12
Los Angeles Clippers,2,2,0,1,48,118.5,46,84.5,54.4,8,21.5,37.2,18.5,22,84.1,7.5,34,41.5,18.5,12.5,10,6,5,17,18,8
Los Angeles Lakers,2,2,0,1,48,113,43.5,93,46.8,9.5,23.5,40.4,16.5,23.5,70.2,12.5,44,56.5,23.5,16,7.5,6.5,6.5,23.5,20,7.5
Milwaukee Bucks,3,2,1,0.667,48,112,42,85.7,49,8.3,20.7,40.3,19.7,23.7,83.1,9.7,36.7,46.3,22.7,10.7,8,5,5,17.3,19.7,10.7
New Orleans Pelicans,2,2,0,1,53,133,50,98,51,13,28.5,45.6,20,29,69,10,41,51,31.5,13,9,9.5,3,16.5,24,12.5
Sacramento Kings,2,2,0,1,50.5,110,45,89.5,50.3,6.5,16.5,39.4,13.5,16,84.4,12,34,46,18.5,14.5,9.5,5,5.5,16,16.5,5
San Antonio Spurs,2,2,0,1,48,104.5,37.5,81,46.3,8,17.5,45.7,21.5,27.5,78.2,6,36.5,42.5,21,10.5,7.5,4.5,0.5,17,23,8.5
Atlanta Hawks,4,1,3,0.25,48,103.3,36.5,88.8,41.1,9.3,28,33,21,25.8,81.6,11.5,33.3,44.8,19.5,15.5,8.3,3,5.8,22,24.3,-6.3
Miami Heat,4,1,3,0.25,49.3,98,37.5,89.5,41.9,6.3,23,27.2,16.8,22.8,73.6,10.5,34.8,45.3,17,12,7,6,5,19.8,20.5,-4.8
Minnesota Timberwolves,2,1,1,0.5,48,104,39,88,44.3,2.5,16,15.6,23.5,28,83.9,11.5,29,40.5,15,7,9,5.5,5,12,21,6.5
Oklahoma City Thunder,2,1,1,0.5,48,102,39,96,40.6,7,24.5,28.6,17,27.5,61.8,16.5,35.5,52,15,8,6.5,3.5,6,21.5,23,-2
Orlando Magic,4,1,3,0.25,48,111.3,40.3,90,44.7,10.8,29.5,36.4,20,24,83.3,11.3,33.8,45,22.8,13.8,6.5,4.3,6.3,21.5,20.8,-2.8
Phoenix Suns,2,1,1,0.5,48,107,37.5,91,41.2,8,23.5,34,24,29.5,81.4,12,47,59,15.5,18.5,6.5,6,4,27.5,26,1
Portland Trail Blazers,2,1,1,0.5,48,112,44,95.5,46.1,7,19,36.8,17,23,73.9,12,36,48,20.5,9,4.5,8.5,5,16.5,17.5,-1
Utah Jazz,2,1,1,0.5,48,110.5,40,82,48.8,11.5,27.5,41.8,19,24.5,77.6,11,30.5,41.5,20,16,9,4.5,3,24,21.5,-1.5
Washington Wizards,3,1,2,0.333,49.7,100.3,39.3,93.7,42,6.3,21.7,29.2,15.3,20,76.7,8.3,35.3,43.7,23.7,11,8.3,2.3,4.3,21,20,-11.3
Chicago Bulls,3,0,3,0,48,96,37.3,90,41.5,8,26.7,30,13.3,18.7,71.4,9.7,36.7,46.3,19.7,15.3,7.7,4.7,9.7,14,17.7,-18
Dallas Mavericks,2,0,2,0,48,105,40,88,45.5,10.5,24.5,42.9,14.5,17.5,82.9,10,34.5,44.5,25.5,10.5,5,3,3.5,22,17.5,-6.5
Memphis Grizzlies,2,0,2,0,48,101.5,39,84,46.4,9,24,37.5,14.5,19,76.3,11,27.5,38.5,18,15.5,9.5,3,8,28.5,22,-6.5
