TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Detroit Pistons,4,3,1,0.75,48,106.3,40.5,87.8,46.2,12.8,31.5,40.5,12.5,17,73.5,10,35.8,45.8,23.3,12.8,4.8,6,3.8,19.8,17.8,10
Toronto Raptors,4,3,1,0.75,48,105.5,39.8,85.3,46.6,10,31,32.3,16,21.3,75.3,11.5,38,49.5,23.3,19,8.3,7,4.3,18.5,20.3,7
Boston Celtics,4,2,2,0.5,48,102,39.3,82.3,47.7,11.3,28.8,39.1,12.3,16,76.6,8,29,37,22.5,15.3,7.3,5.3,4.3,19.5,17.5,0.8
Charlotte Hornets,4,2,2,0.5,48,116.3,41.8,86.3,48.4,13.3,34,39,19.5,24,81.3,10,33.5,43.5,24.8,14.8,5.3,3.5,3.5,15,20.5,4.5
Dallas Mavericks,2,2,0,1,48,103.5,40,83,48.2,11,33,33.3,12.5,16.5,75.8,5.5,34,39.5,23,10,8,3,4,16.5,18,5
Houston Rockets,2,2,0,1,48,118,42.5,88,48.3,17.5,43.5,40.2,15.5,19.5,79.5,10,38,48,25,14,9.5,2.5,7,15,16,22
Miami Heat,4,2,2,0.5,49.3,107,41,84.3,48.7,13.5,34,39.7,11.5,15.8,73,7.3,31.8,39,25.5,15.8,7.5,5.5,5.3,18.8,18,-4.8
New Orleans Pelicans,2,2,0,1,48,106.5,39,83,47,11,29,37.9,17.5,23,76.1,10.5,36,46.5,19,16.5,5,8,4.5,18.5,21,4.5
Oklahoma City Thunder,2,2,0,1,48,107,39.5,88.5,44.6,11.5,28,41.1,16.5,25,66,16.5,34,50.5,26,17.5,9,7,4.5,19.5,22,11.5
Portland Trail Blazers,2,2,0,1,48,107,41.5,94.5,43.9,9.5,25.5,37.3,14.5,16.5,87.9,12.5,41.5,54,18,10,5.5,6.5,4,18.5,16.5,16
Washington Wizards,3,2,1,0.667,48,105,40,79.7,50.2,9,24,37.5,16,19.7,81.4,7.7,33.3,41,26.3,14.3,8.7,1.7,2,20.3,18,4.3
Atlanta Hawks,4,1,3,0.25,48,95.5,36,83,43.4,8.5,30.5,27.9,15,19,78.9,9.5,32.3,41.8,20.8,19,9.5,7,4,18.3,18.5,-13.3
Chicago Bulls,4,1,3,0.25,48,97,37.3,85.3,43.7,11.3,31,36.3,11.3,15,75,9.5,31,40.5,22,14.8,5.8,4.5,4.5,15.8,16.3,-11.8
Cleveland Cavaliers,4,1,3,0.25,48,104.8,40.8,84.5,48.2,9.5,34.5,27.5,13.8,18.5,74.3,8.5,35.3,43.8,23.5,15.5,8.8,4,2.3,17,18.8,-4
Denver Nuggets,2,1,1,0.5,50.5,111.5,42,92,45.7,13.5,37,36.5,14,18,77.8,16,32,48,27.5,19,8.5,6.5,3,19.5,20.5,-3.5
Los Angeles Lakers,2,1,1,0.5,48,99.5,41,83,49.4,8.5,30.5,27.9,9,18.5,48.6,10,37,47,23,14,5.5,4.5,6,17.5,17,1.5
Milwaukee Bucks,4,1,3,0.25,48,100.8,35.8,76.5,46.7,8,23,34.8,21.3,25.8,82.5,8.3,29.3,37.5,20.3,16.8,9,7.3,4,21.8,20.3,-0.5
Minnesota Timberwolves,2,1,1,0.5,48,107,41.5,86,48.3,6.5,21.5,30.2,17.5,23.5,74.5,11,24.5,35.5,23.5,11,10,6,3.5,17,19.5,-3
New York Knicks,3,1,2,0.333,48,106,41.7,90.7,46,7,27,25.9,15.7,20,78.3,13,31.7,44.7,25.7,14,6.7,4,4,18,17.7,-6.3
Philadelphia 76ers,3,1,2,0.333,48,103.7,38,84.7,44.9,12.7,32.7,38.8,15,20,75,11.3,37.7,49,26.3,19.7,6,6,5.3,22,20,0
Utah Jazz,2,1,1,0.5,48,99,38.5,80.5,47.8,10,32,31.3,12,16.5,72.7,8,32,40,20.5,13,10,6,2.5,15,17.5,2.5
Brooklyn Nets,4,0,4,0,49.3,112.5,39,89,43.8,13.3,33.5,39.6,21.3,26.3,81,11.3,30.5,41.8,24,15,5,2,8,20.5,22.5,-7.5
Golden State Warriors,2,0,2,0,48,93.5,36,84.5,42.6,7,23,30.4,14.5,16.5,87.9,15,30,45,25,16.5,5,7,2.5,15.5,19,-15.5
Los Angeles Clippers,2,0,2,0,48,104,42,79,53.2,9.5,25.5,37.3,10.5,14,75,8.5,25.5,34,24,13.5,5,4.5,3,19.5,14,-6
Memphis Grizzlies,2,0,2,0,48,107,41.5,84,49.4,10,29,34.5,14,18.5,75.7,12.5,29.5,42,24.5,16,7.5,5.5,5,20,16,-3.5
Orlando Magic,3,0,3,0,48,106,39,84.3,46.2,12.3,34.7,35.6,15.7,23.7,66.2,11.3,30.3,41.7,22,17.7,5.3,7.7,4.3,20.3,22.3,-7.3
Phoenix Suns,2,0,2,0,48,99,35,84.5,41.4,9,36,25,20,26.5,75.5,12,31.5,43.5,21,14.5,2.5,1.5,2,21,23,-19
Sacramento Kings,2,0,2,0,48,93,39.5,83,47.6,7.5,22.5,33.3,6.5,11.5,56.5,7,31,38,21,16.5,5.5,3.5,5.5,21,17,-10.5
San Antonio Spurs,2,0,2,0,48,90,35.5,86,41.3,9,31,29,10,15,66.7,11,34,45,21.5,18.5,10,9,2,12.5,17.5,-5.5
