TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Philadelphia 76ers,4,4,0,1,48,108.5,39.5,85,46.5,11.5,28,41.1,18,22,81.8,11.3,37.5,48.8,28.3,16.5,8.5,2.8,3.3,20.5,20.3,14.8
Toronto Raptors,4,4,0,1,49.3,112,41.8,87,48,13,37,35.1,15.5,17.8,87.3,9.3,38.5,47.8,28.8,14.8,7,6.8,4.8,18.8,19,11.5
Cleveland Cavaliers,4,3,1,0.75,48,115.8,41.3,83.8,49.3,14,34,41.2,19.3,23,83.7,7.3,38,45.3,27,12.5,4,3,4.8,17,22.8,14
Washington Wizards,4,3,1,0.75,48,109.5,40.3,83.8,48.1,8.8,26.3,33.3,20.3,24,84.4,10.8,30,40.8,27.3,14,10.8,5.8,3,19.3,22.3,5.3
Boston Celtics,3,2,1,0.667,48,103,38,80.3,47.3,14.7,34,43.1,12.3,19,64.9,8,34.7,42.7,24.3,14,4.7,4.3,3.3,21,17.7,4
Charlotte Hornets,3,2,1,0.667,48,107.3,38,81.7,46.5,11.7,28.7,40.7,19.7,28.3,69.4,8.3,39.3,47.7,21.7,16.7,7.3,3.7,3.3,15,22.3,5
Denver Nuggets,2,2,0,1,48,111.5,41.5,82,50.6,11,29,37.9,17.5,21,83.3,8,36.5,44.5,26.5,16.5,7.5,5.5,3,15,18,13
Miami Heat,4,2,2,0.5,48,106.5,40.8,86.8,47,14,34,41.2,11,15.5,71,9,30.5,39.5,25.8,12,9.5,4.3,3.5,18,16.5,0.8
Milwaukee Bucks,4,2,2,0.5,48,96.5,36,78.3,46,8.5,23.3,36.6,16,20.8,77.1,9.3,29.5,38.8,22.3,13.5,7.5,7.5,1.8,21,17.8,-6
New Orleans Pelicans,2,2,0,1,48,115,45,91,49.5,10,28,35.7,15,18.5,81.1,9.5,37.5,47,31,14.5,6.5,8,3.5,21.5,18.5,9
Orlando Magic,3,2,1,0.667,49.7,109,40.7,84.3,48.2,13.7,31.7,43.2,14,17.7,79.2,8,36.3,44.3,27.7,17.7,8,3.3,2.7,18.7,17,6
Utah Jazz,2,2,0,1,50.5,104,40,86,46.5,11.5,32.5,35.4,12.5,19.5,64.1,10,38,48,26.5,19.5,10.5,7,5.5,18.5,19.5,17
Atlanta Hawks,4,1,3,0.25,48,102.8,38,81.5,46.6,8.8,29.3,29.9,18,23.3,77.4,7.5,31.8,39.3,27,14.3,9,5,4.3,20,21.8,-6
Brooklyn Nets,4,1,3,0.25,48,95.8,35,82.8,42.3,13.5,40.5,33.3,12.3,15.5,79,5.8,37,42.8,24.5,16.8,5.3,4,3.5,17.8,15.3,-13.5
Chicago Bulls,4,1,3,0.25,48,93,36.5,90.8,40.2,12,34,35.3,8,11.5,69.6,10.5,31,41.5,23.5,15.3,9.8,2.5,6.8,16.3,14,-17
Dallas Mavericks,2,1,1,0.5,50.5,108,40,83.5,47.9,13.5,34.5,39.1,14.5,19,76.3,7,34.5,41.5,24,12,6.5,6,3,18.5,19,5
Golden State Warriors,2,1,1,0.5,48,104.5,41.5,79,52.5,8.5,26.5,32.1,13,17,76.5,7.5,35,42.5,29,20,4,13,1,16.5,13,-2
Houston Rockets,2,1,1,0.5,50.5,100.5,36.5,94.5,38.6,13.5,49,27.6,14,19.5,71.8,12,35,47,24,14,7,3.5,4.5,19.5,16,-1.5
Indiana Pacers,4,1,3,0.25,48,96.3,36.5,85.3,42.8,9.3,25.8,35.9,14,19.3,72.7,10,31.5,41.5,20.8,12.8,6,3.8,6,17.8,19.8,-10
Los Angeles Clippers,2,1,1,0.5,48,97.5,35,87.5,40,12.5,34,36.8,15,18.5,81.1,14.5,39.5,54,21,14.5,6,4.5,5.5,17,18,2.5
Los Angeles Lakers,2,1,1,0.5,48,109.5,42.5,88,48.3,9,24.5,36.7,15.5,19.5,79.5,8.5,41.5,50,29.5,12,6,6,2.5,17,18.5,7
Memphis Grizzlies,2,1,1,0.5,48,116,44,89.5,49.2,12,32,37.5,16,19,84.2,9,37,46,29,13,7,3.5,2,21,18.5,5.5
Oklahoma City Thunder,2,1,1,0.5,48,109.5,43.5,95.5,45.5,11,32.5,33.8,11.5,15.5,74.2,13,31,44,22.5,12.5,11,4,4,16,18.5,6
Portland Trail Blazers,2,1,1,0.5,48,95.5,37.5,90.5,41.4,9,32,28.1,11.5,13,88.5,11,36,47,20.5,12,8.5,6.5,3,15.5,15,-3.5
San Antonio Spurs,2,1,1,0.5,48,87.5,33,83,39.8,9.5,28.5,33.3,12,12.5,96,10,38.5,48.5,24,15.5,5,6,1.5,16.5,16.5,-5.5
Minnesota Timberwolves,2,0,2,0,48,99,38.5,81.5,47.2,7,23.5,29.8,15,19.5,76.9,6.5,31,37.5,21,17.5,8,4,2.5,19.5,21.5,-12
New York Knicks,3,0,3,0,48,105.7,41.3,89.7,46.1,9.7,27.7,34.9,13.3,16.3,81.6,12.3,31,43.3,25.3,14.3,5.3,4,4,19.7,17,-4.3
Phoenix Suns,2,0,2,0,48,97.5,36.5,87,42,7,28,25,17.5,24,72.9,10,33,43,21.5,20,6,6,10,17.5,19,-25.5
Sacramento Kings,2,0,2,0,48,94.5,40,82,48.8,8,22,36.4,6.5,11,59.1,5.5,30,35.5,23.5,15.5,6.5,2,4,22,15,-12.5
