TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Golden State Warriors,4,3,1,0.75,48,104.8,40.5,84.3,48.1,9.3,26,35.6,14.5,17.5,82.9,7.5,35,42.5,28,13.8,7.3,9.8,5.3,20,15.8,6.5
Houston Rockets,4,3,1,0.75,48,104.5,36.3,82.8,43.8,13,41.8,31.1,19,23.5,80.9,9,34.8,43.8,19,12.5,8.5,4.3,5,18.8,16.3,6.3
Los Angeles Lakers,3,3,0,1,49.7,110.3,41,88.3,46.4,13.7,32,42.7,14.7,19.7,74.6,8.7,37,45.7,26.7,15,9.7,3.7,5,20,18,8.7
New Orleans Pelicans,4,3,1,0.75,48,110.8,44.3,89.5,49.4,6.8,21.3,31.8,15.5,18.5,83.8,10.5,37.5,48,24.3,15.8,8,4.3,6.5,18.3,17.3,10.3
Utah Jazz,4,3,1,0.75,49.3,110.3,37.8,78.8,47.9,11.5,25.3,45.5,23.3,29.8,78.2,6,32.8,38.8,20.8,14.5,7.5,4.3,5.8,21,24.3,4.5
Denver Nuggets,4,2,2,0.5,48,105.8,40.8,89.8,45.4,9.8,28.8,33.9,14.5,17,85.3,12.5,29,41.5,25.5,13.5,8.8,4,5.8,18.8,18.5,-5.8
Indiana Pacers,2,2,0,1,48,95.5,36.5,80.5,45.3,7,20.5,34.1,15.5,18.5,83.8,6.5,36,42.5,17.5,14.5,11.5,2,9,17.5,12.5,5.5
Milwaukee Bucks,2,2,0,1,48,100,41.5,87.5,47.4,7,22.5,31.1,10,16,62.5,10,32,42,27,12,8,6.5,4,15.5,16,5
Oklahoma City Thunder,4,2,2,0.5,48,98.5,38,86.5,43.9,9,25.8,35,13.5,21.8,62.1,12.3,32.8,45,22,14.8,8.5,3,6.3,19.3,20.5,1.5
Philadelphia 76ers,2,2,0,1,48,104.5,37,79.5,46.5,8,21.5,37.2,22.5,30.5,73.8,12.5,35,47.5,23,11.5,7.5,4.5,4.5,20.5,19.5,12.5
Atlanta Hawks,2,1,1,0.5,48,93.5,38.5,85.5,45,8.5,27.5,30.9,8,11,72.7,10,34,44,22,15,7.5,4.5,5,19,15,-4
Boston Celtics,2,1,1,0.5,48,105,40,85.5,46.8,11,34.5,31.9,14,16.5,84.8,13,33.5,46.5,19,14.5,10,3,3.5,22,14,5.5
Dallas Mavericks,4,1,3,0.25,48,97.5,37.8,83.8,45.1,10.8,29.5,36.4,11.3,14,80.4,5.3,36.5,41.8,20.8,11,6.5,2.5,4.8,19.3,14.3,-2.3
Detroit Pistons,2,1,1,0.5,48,93,35.5,83,42.8,8,25.5,31.4,14,20,70,6.5,37,43.5,18.5,10.5,9,1.5,6,16.5,16.5,5.5
Los Angeles Clippers,3,1,2,0.333,48,103.7,38.7,82.7,46.8,8.3,25,33.3,18,25.3,71.1,10,32.7,42.7,20.7,17,8.7,3.3,5.7,21.7,23,-9.3
Minnesota Timberwolves,3,1,2,0.333,48,99.3,38.3,84.3,45.5,8,16.3,49,14.7,19.7,74.6,10.7,28.3,39,24,12,6.3,3.3,7.7,16,17.7,-4
Orlando Magic,2,1,1,0.5,48,93,38,83,45.8,9,23,39.1,8,11.5,69.6,7.5,35.5,43,19,19.5,7,5,7.5,21.5,14,-4.5
Portland Trail Blazers,3,1,2,0.333,48,102.3,42.7,92,46.4,8.3,25.3,32.9,8.7,11.7,74.3,10.7,27.7,38.3,18.3,10.3,8,4,5.7,18.3,14.7,-4
Toronto Raptors,2,1,1,0.5,48,91.5,34,82.5,41.2,9.5,31.5,30.2,14,19,73.7,7,35,42,16.5,14.5,9.5,2.5,9.5,24.5,17.5,-0.5
Washington Wizards,2,1,1,0.5,48,103,40.5,84,48.2,9,24.5,36.7,13,17,76.5,9.5,33,42.5,30,15,8,5.5,7.5,21.5,17,1
Brooklyn Nets,2,0,2,0,48,96,37,88,42,12.5,34,36.8,9.5,13.5,70.4,9,37,46,23,13.5,4,0.5,4.5,23,17,-8.5
Charlotte Hornets,2,0,2,0,48,93.5,32,82,39,6,24.5,24.5,23.5,34,69.1,12.5,31.5,44,18,13,9,2.5,6.5,19.5,22.5,-13.5
Chicago Bulls,2,0,2,0,48,85.5,35.5,84,42.3,7,25.5,27.5,7.5,11,68.2,6.5,31.5,38,20,16.5,6,4.5,4.5,15,15,-24.5
Cleveland Cavaliers,2,0,2,0,48,98,36.5,81.5,44.8,7,27.5,25.5,18,22.5,80,9.5,34.5,44,18.5,17,7,3,6.5,19,15.5,-14
Memphis Grizzlies,4,0,4,0,48,89.3,35.8,78.5,45.5,6.5,19.3,33.8,11.3,14.3,78.9,8.5,31,39.5,21.3,17.8,6.8,4,5,23,16,-12.5
Miami Heat,2,0,2,0,48,102.5,38,76,50,13.5,30,45,13,15,86.7,5,25.5,30.5,23.5,14,6.5,3,5,20.5,16.5,-14.5
New York Knicks,2,0,2,0,48,99,38,88.5,42.9,6,18,33.3,17,20,85,12,35,47,26,12,5.5,7.5,4.5,24.5,17.5,-10.5
Phoenix Suns,4,0,4,0,48,91.5,35,85.3,41.1,6.3,27.5,22.7,15.3,22,69.3,10.3,33.5,43.8,17.8,15.8,7,2.8,5.5,20.8,18.8,-20.5
Sacramento Kings,4,0,4,0,48,95.5,37,82.8,44.7,11.5,24.3,47.4,10,13.8,72.7,8.8,32.8,41.5,19.3,12.3,4.3,2,3.3,18.8,12.5,-11
