TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Houston Rockets,4,4,0,1,48,114,39.3,81.8,48,13.5,34,39.7,22,30,73.3,9.3,30.8,40,18.3,12.8,8.3,4,5,21.5,23,5.5
Denver Nuggets,4,3,1,0.75,48,94,34.3,83.8,40.9,8,28.3,28.3,17.5,22.3,78.7,13,33.3,46.3,19.3,15.3,6.8,6.3,4.3,16.8,21.8,2.3
Boston Celtics,2,2,0,1,48,101,35,81,43.2,13,27,48.1,18,21.5,83.7,9,39,48,23,12,4,5,7,17,18.5,3
Memphis Grizzlies,4,2,2,0.5,48,99,37.3,82.8,45,9.3,23.8,38.9,15.3,20.8,73.5,7.5,31.8,39.3,21,13.8,7,6.5,5,22.5,19,-4.3
Milwaukee Bucks,2,2,0,1,48,108,42,83.5,50.3,6.5,19,34.2,17.5,22.5,77.8,6,29,35,20.5,11.5,10,6.5,4.5,21.5,18,7.5
Minnesota Timberwolves,4,2,2,0.5,48,110.3,42,85,49.4,6,18.5,32.4,20.3,24.3,83.5,8,30,38,19,11.3,7.5,3.5,4.5,17.3,20,0
New Orleans Pelicans,4,2,2,0.5,48,109.5,40.8,84.5,48.2,8.8,26,33.7,19.3,23.5,81.9,7,39.8,46.8,23.3,15.5,4.3,6.5,5.8,19.3,19.5,-0.3
San Antonio Spurs,3,2,1,0.667,48,106.3,42.7,81.3,52.5,8,20.3,39.3,13,17.7,73.6,7.7,36,43.7,21.3,15,7.7,5.7,4,14.7,18.3,4
Toronto Raptors,2,2,0,1,48,114.5,42.5,93,45.7,13.5,32,42.2,16,19,84.2,12.5,32,44.5,19,8,7.5,6.5,4.5,18.5,15,19.5
Utah Jazz,4,2,2,0.5,49.3,100.3,35.3,86.3,40.9,10,25.8,38.8,19.8,23.3,84.9,12,40.3,52.3,18,15.5,7.3,6.3,6.5,18.8,22.3,0
Atlanta Hawks,2,1,1,0.5,48,96.5,35,86,40.7,11,28,39.3,15.5,20,77.5,12,30,42,21.5,14.5,9.5,4,6.5,16,19,-3
Brooklyn Nets,2,1,1,0.5,48,113,44.5,95.5,46.6,11,31.5,34.9,13,20,65,12,36,48,25,9.5,5.5,5,8.5,17.5,16.5,1
Cleveland Cavaliers,2,1,1,0.5,48,116,42,81.5,51.5,12,32.5,36.9,20,29,69,5,32,37,22.5,10.5,8,5.5,4,19,22,4.5
Dallas Mavericks,3,1,2,0.333,48,105.3,38.3,88,43.6,12.3,33,37.4,16.3,21.7,75.4,9,30,39,21,7,8.7,4.3,3.7,18.7,20,-5.7
Detroit Pistons,2,1,1,0.5,48,99,37.5,84,44.6,12.5,27.5,45.5,11.5,16,71.9,9,38,47,26.5,13,6.5,3,6.5,15,15.5,3.5
Golden State Warriors,3,1,2,0.333,48,112,41.7,82.7,50.4,11.7,28.3,41.2,17,20,85,6.7,32,38.7,23.3,14,6,6.3,1.3,20,17.7,-5.3
Los Angeles Clippers,4,1,3,0.25,48,101.3,36.8,85,43.2,7,21.5,32.6,20.8,31,66.9,10.5,34.5,45,16.8,10.8,5.5,5,6.5,17.3,23.5,-7.3
Philadelphia 76ers,2,1,1,0.5,48,105.5,40.5,88.5,45.8,13.5,32,42.2,11,15.5,71,8,39,47,25.5,16,10,5,4.5,23.5,17.5,8
Sacramento Kings,4,1,3,0.25,48,93.8,36.8,88,41.8,7,19,36.8,13.3,17.3,76.8,9.8,29.8,39.5,19.8,12,9.8,4,3.8,19.3,19.5,-10.8
Washington Wizards,2,1,1,0.5,48,105.5,41.5,89,46.6,9.5,24,39.6,13,15,86.7,9,31.5,40.5,20,10,12.5,5,5.5,19.5,18,5.5
Charlotte Hornets,2,0,2,0,50.5,97,35.5,97,36.6,10,32,31.3,16,22.5,71.1,10,37.5,47.5,17.5,9.5,9.5,3,5,18.5,20,-4
Chicago Bulls,2,0,2,0,50.5,114,43,101.5,42.4,12,30.5,39.3,16,22.5,71.1,13.5,33.5,47,23.5,9,7.5,5.5,5.5,18.5,17.5,-10
Indiana Pacers,2,0,2,0,48,91,35.5,84.5,42,5.5,22,25,14.5,23,63,8,34.5,42.5,16,10,2.5,4,6.5,16.5,18.5,-16
Los Angeles Lakers,3,0,3,0,48,101.7,37.7,83.7,45,7.7,26.7,28.8,18.7,26,71.8,6.7,38,44.7,19.7,13,8.3,6,5.7,22,20.3,-3.7
Miami Heat,2,0,2,0,48,97,36.5,81.5,44.8,11.5,30.5,37.7,12.5,19.5,64.1,10,31,41,21.5,13.5,6,2.5,4,22.5,18,-11.5
New York Knicks,2,0,2,0,48,89,35,85.5,40.9,6,17,35.3,13,18.5,70.3,11.5,33.5,45,17,13.5,5,5,3.5,19.5,18.5,-18
Oklahoma City Thunder,4,0,4,0,48,102.5,38.5,87,44.3,9.5,29.5,32.2,16,22.5,71.1,9.8,27.5,37.3,17.8,12,8,4.3,6,21,20,-6.5
Orlando Magic,2,0,2,0,48,91,34.5,81.5,42.3,10.5,29,36.2,11.5,14,82.1,7.5,35.5,43,17,15.5,6.5,3.5,5.5,17,15,-6
Phoenix Suns,4,0,4,0,48,99.5,35.3,88,40.1,10.8,30,35.8,18.3,22.8,80.2,10,33.3,43.3,18.8,15.5,8,7,6.8,21,20.3,-16
