,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
0,New York Knicks,88,Cleveland Cavaliers,117,0.0,1.0,,,,,,
1,San Antonio Spurs,129,Golden State Warriors,100,1.0,0.0,,,,,,
2,Utah Jazz,104,Portland Trail Blazers,113,0.0,1.0,,,,,,
3,Brooklyn Nets,117,Boston Celtics,122,0.0,1.0,,,,,,
4,Dallas Mavericks,121,Indiana Pacers,130,0.0,1.0,,,,,,
5,Houston Rockets,114,Los Angeles Lakers,120,0.0,1.0,,,,,,
6,Minnesota Timberwolves,98,Memphis Grizzlies,102,0.0,1.0,,,,,,
7,Charlotte Hornets,107,Milwaukee Bucks,96,1.0,0.0,,,,,,
8,Denver Nuggets,107,New Orleans Pelicans,102,1.0,0.0,,,,,,
9,Miami Heat,108,Orlando Magic,96,1.0,0.0,,,,,,
10,Oklahoma City Thunder,103,Philadelphia 76ers,97,1.0,0.0,,,,,,
11,Sacramento Kings,113,Phoenix Suns,94,1.0,0.0,,,,,,
12,Detroit Pistons,91,Toronto Raptors,109,0.0,1.0,,,,,,
13,Washington Wizards,99,Atlanta Hawks,114,0.0,1.0,,,,,,
14,Boston Celtics,99,Chicago Bulls,105,0.0,1.0,,,,,,
15,Los Angeles Clippers,114,Portland Trail Blazers,106,1.0,0.0,,,,,,
16,San Antonio Spurs,102,Sacramento Kings,94,1.0,0.0,,,,,,
17,Indiana Pacers,94,Brooklyn Nets,103,0.0,1.0,,,,,,
18,Houston Rockets,106,Dallas Mavericks,98,1.0,0.0,,,,,,
19,Orlando Magic,82,Detroit Pistons,108,0.0,1.0,,,,,,
20,Charlotte Hornets,97,Miami Heat,91,1.0,0.0,,,,,,
21,Golden State Warriors,122,New Orleans Pelicans,114,1.0,0.0,,,,,,
22,Phoenix Suns,110,Oklahoma City Thunder,113,0.0,1.0,,,,,,
23,Cleveland Cavaliers,94,Toronto Raptors,91,1.0,0.0,,,,,,
24,Los Angeles Lakers,89,Utah Jazz,96,0.0,1.0,,,,,,
25,Indiana Pacers,101,Chicago Bulls,118,0.0,1.0,,,,,,
26,Boston Celtics,104,Charlotte Hornets,98,1.0,0.0,,,,,,
27,Orlando Magic,99,Cleveland Cavaliers,105,0.0,1.0,,,,,,
28,Portland Trail Blazers,115,Denver Nuggets,113,1.0,0.0,,,,,,
29,Brooklyn Nets,108,Milwaukee Bucks,110,0.0,1.0,,,,,,
30,Memphis Grizzlies,104,New York Knicks,111,0.0,1.0,,,,,,
31,Atlanta Hawks,104,Philadelphia 76ers,72,1.0,0.0,,,,,,
32,Minnesota Timberwolves,103,Sacramento Kings,106,0.0,1.0,,,,,,
33,New Orleans Pelicans,79,San Antonio Spurs,98,0.0,1.0,,,,,,
34,Milwaukee Bucks,83,Detroit Pistons,98,0.0,1.0,,,,,,
35,Dallas Mavericks,92,Houston Rockets,93,0.0,1.0,,,,,,
36,Utah Jazz,75,Los Angeles Clippers,88,0.0,1.0,,,,,,
37,Washington Wizards,103,Memphis Grizzlies,112,0.0,1.0,,,,,,
38,San Antonio Spurs,106,Miami Heat,99,1.0,0.0,,,,,,
39,Los Angeles Lakers,96,Oklahoma City Thunder,113,0.0,1.0,,,,,,
40,Golden State Warriors,106,Phoenix Suns,100,1.0,0.0,,,,,,
41,Sacramento Kings,95,Atlanta Hawks,106,0.0,1.0,,,,,,
42,Chicago Bulls,118,Brooklyn Nets,88,1.0,0.0,,,,,,
43,Phoenix Suns,98,Los Angeles Clippers,116,0.0,1.0,,,,,,
44,Denver Nuggets,102,Toronto Raptors,105,0.0,1.0,,,,,,
45,Houston Rockets,120,Cleveland Cavaliers,128,0.0,1.0,,,,,,
46,New York Knicks,89,Detroit Pistons,102,0.0,1.0,,,,,,
47,Los Angeles Lakers,108,Indiana Pacers,115,0.0,1.0,,,,,,
48,Sacramento Kings,96,Miami Heat,108,0.0,1.0,,,,,,
49,Memphis Grizzlies,80,Minnesota Timberwolves,116,0.0,1.0,,,,,,
50,Milwaukee Bucks,117,New Orleans Pelicans,113,1.0,0.0,,,,,,
51,Orlando Magic,103,Philadelphia 76ers,101,1.0,0.0,,,,,,
52,Golden State Warriors,127,Portland Trail Blazers,104,1.0,0.0,,,,,,
53,Utah Jazz,106,San Antonio Spurs,91,1.0,0.0,,,,,,
