Visitor,PTS,Home,PTS,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
Boston Celtics,99,Cleveland Cavaliers,102,,,,,,,,
Houston Rockets,122,Golden State Warriors,121,,,,,,,,
Milwaukee Bucks,108,Boston Celtics,100,,,,,,,,
Atlanta Hawks,117,Dallas Mavericks,111,,,,,,,,
Charlotte Hornets,90,Detroit Pistons,102,,,,,,,,
Brooklyn Nets,131,Indiana Pacers,140,,,,,,,,
New Orleans Pelicans,91,Memphis Grizzlies,103,,,,,,,,
Miami Heat,109,Orlando Magic,116,,,,,,,,
Portland Trail Blazers,124,Phoenix Suns,76,,,,,,,,
Houston Rockets,105,Sacramento Kings,100,,,,,,,,
Minnesota Timberwolves,99,San Antonio Spurs,107,,,,,,,,
Denver Nuggets,96,Utah Jazz,106,,,,,,,,
Philadelphia 76ers,115,Washington Wizards,120,,,,,,,,
Los Angeles Clippers,108,Los Angeles Lakers,92,,,,,,,,
New York Knicks,84,Oklahoma City Thunder,105,,,,,,,,
Chicago Bulls,100,Toronto Raptors,117,,,,,,,,
Orlando Magic,121,Brooklyn Nets,126,,,,,,,,
Atlanta Hawks,91,Charlotte Hornets,109,,,,,,,,
Sacramento Kings,93,Dallas Mavericks,88,,,,,,,,
Portland Trail Blazers,114,Indiana Pacers,96,,,,,,,,
Cleveland Cavaliers,116,Milwaukee Bucks,97,,,,,,,,
Utah Jazz,97,Minnesota Timberwolves,100,,,,,,,,
Golden State Warriors,128,New Orleans Pelicans,120,,,,,,,,
Boston Celtics,102,Philadelphia 76ers,92,,,,,,,,
Los Angeles Lakers,132,Phoenix Suns,130,,,,,,,,
Detroit Pistons,111,Washington Wizards,115,,,,,,,,
San Antonio Spurs,87,Chicago Bulls,77,,,,,,,,
Orlando Magic,114,Cleveland Cavaliers,93,,,,,,,,
Sacramento Kings,79,Denver Nuggets,96,,,,,,,,
Dallas Mavericks,91,Houston Rockets,107,,,,,,,,
Phoenix Suns,88,Los Angeles Clippers,130,,,,,,,,
Golden State Warriors,101,Memphis Grizzlies,111,,,,,,,,
Indiana Pacers,108,Miami Heat,112,,,,,,,,
Portland Trail Blazers,110,Milwaukee Bucks,113,,,,,,,,
Detroit Pistons,111,New York Knicks,107,,,,,,,,
Philadelphia 76ers,94,Toronto Raptors,128,,,,,,,,
Oklahoma City Thunder,87,Utah Jazz,96,,,,,,,,
